doi,year,era,benchmark_partition,prompt_profile,judging_mode,self_consistency_samples,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v2,per_figure,1,1,True,False,False,"The figure's substance is a feedback-mechanism cartoon (a), RNA secondary-structure comparison (c), and FACS/bar-chart data (d, e); the only construct-like element is the small linear sketch in panel b illustrating the RNP feedback mechanism. Under the 2012-2013 boundary, abstract gene-circuit/feedback topology and small construct sketches embedded in mechanism or data panels were not counted absent conventional plasmid or vector cartography as a central subject.",
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v2,per_figure,1,2,True,False,False,"Figure 2 consists solely of two FACS scatter plots (panels a and b) with insets showing model fits to fluorescence data. It contains no construct diagram, sequence feature layout, or circuit schematic — only data plots and mathematical model fitting.",
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v2,per_figure,1,3,True,False,False,"Panel (a) is a mechanism illustration of L7Ae-ECFP binding K-turn/K-loop RNA motifs to repress translation in cis and in trans, with only small mRNA/construct sketches serving that mechanism; panel (b) is a FACS dot plot with model fits. Under the 2012-2013 boundary, mechanism panels with embedded construct sketches and protein-fusion blocks were not counted, and no panel presents a construct's composition as a design to build.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v2,per_figure,1,1,False,False,True,"Panel A is a protein-domain/mechanism cartoon of a LOV2–caspase-7 fusion illustrating photoactivation mechanisms, with no nucleic-acid construct layout, and panels B–H are bar charts, a time course, an SDS-PAGE gel, and fluorescence micrographs. Under the 2012-2013 boundary, protein-fusion block diagrams and mechanism illustrations are not counted.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v2,per_figure,1,2,False,False,True,"Figure 2 consists solely of fluorescence micrographs (panels A–F) of COS7 cells at low and high magnification, with arrows and a dotted circle marking the illuminated zone. It contains no depiction of a nucleic-acid construct, circuit, or plasmid design.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v2,per_figure,1,3,False,False,True,"Figure 3 consists solely of bar charts, a time-course plot, and Native-PAGE/SDS-PAGE gel images reporting cell-death and protein-size data. No panel depicts a nucleic-acid construct, plasmid map, or genetic circuit design.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v2,per_figure,1,4,False,False,True,"Figure 4 consists solely of fluorescence micrographs (panels A–C, E) and a time-course intensity-ratio plot (panel D) documenting ATP release and Ca2+ FRET signals in COS7 cells. No panel depicts the composition or arrangement of a nucleic-acid construct, plasmid, or genetic circuit — the constructs are only named in the caption.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v2,per_figure,1,5,False,False,True,"Figure 5 consists solely of fluorescence micrographs (panels A–G) showing MitoSensor dye redistribution over time in transfected and nontransfected COS7 cells. It contains no diagram of nucleic-acid construct composition, circuit topology, or plasmid cartography.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v2,per_figure,1,1,False,False,True,"All six panels are abstract circuit topology diagrams — generic 'Switch' boxes and 'Signal' circles connected by activation/inhibition arrows — with no depiction of sequence features, backbones, or construct composition. Under the 2012-2013 era policy, abstract gene-circuit topology is not counted even though it could be translated into SBOL Visual glyphs.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v2,per_figure,1,2,False,False,True,"Figure 2 is a reaction-mechanism illustration: color-coded strand/domain hybridization and degradation schematics for in vitro transcriptional switches, paired with schematic production, degradation, and steady-state curves. Under the 2012-2013 boundary, strand/domain interaction diagrams and mechanism panels are not counted, and no panel presents a construct's composition as a design specification.",
