doi,year,era,benchmark_partition,prompt_profile,judging_mode,self_consistency_samples,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,1,False,True,False,"Panel A depicts the concrete domain architecture of the specific engineered LOV2–caspase-7 fusion (LOV2 linked to the p20/p11 catalytic domain) that is the experimental material assayed in panels B–H. Under the 2012–2013 era policy, a concrete depiction identifying the specific engineered construct or protein/domain variant counts even when it appears inside a mechanism panel.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,2,False,False,True,"Figure 2 consists entirely of fluorescence micrographs (panels A-F) of COS7 cells at low and high magnification, with arrows and a dotted circle marking the illuminated zone. It contains no schematic of a construct, plasmid, or sequence feature layout, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,3,False,False,True,"Figure 3 consists entirely of bar charts and time-course plots of cell death percentages (A–E, H) plus Native-PAGE and fluorescent SDS-PAGE gel images (F, G); construct names such as L57V, bL57V, oL57V, and dL57V appear only as axis labels, with no schematic depicting the composition or arrangement of any engineered construct. There is no diagrammatic content that could be rendered with SBOL Visual glyphs.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,4,False,False,True,"Figure 4 consists only of fluorescence micrographs (panels A-C, E) and a FRET intensity-ratio time-course plot (panel D); no panel depicts a construct, plasmid, or sequence-feature arrangement. The transfected constructs (L57-mRFP, YFP/CFP biosensor, P2X2-CFP) are named only in the caption, with no schematic depiction of their design.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,5,False,False,True,"Figure 5 consists solely of fluorescence micrographs (panels A–G) showing MitoSensor dye distribution over time in transfected and nontransfected COS7 cells. It contains no schematic of the engineered construct, no sequence features on a backbone, and no depiction of a design to build.",
10.1021/sb300061x,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,1,False,False,True,"Figure 1 consists solely of overlaid gas chromatogram traces with peak annotations and a small legend table of +/- experimental conditions; there is no depiction of a construct's physical composition, plasmid/vector cartography, or arrangement of sequence features. The +/- condition table identifies treatments in words, not as a concrete design depiction, so nothing in the figure is renderable as SBOL Visual.",
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,1,True,True,True,"Panel (a) is a conventional plasmid mutagenesis/assembly diagram — circular vector maps with primer pairs, mutation sites, and the assembled mutagenized plasmid — and that physical cartography is a central subject of the figure, which the 2012-2013 era policy counts even when the labels are primers and assembly junctions. Panel (b)'s strand-level exonuclease/polymerase/ligase mechanism is not itself countable, but panel (a) alone makes the figure compatible.",
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,2,True,True,True,"All three panels are conventional circular plasmid/vector maps depicting the mutagenesis and one-step isothermal assembly of specific engineered constructs (mGOAT 8Lys→Arg in pFastBac1, pLD401 Orf2-H230A, and the pRS Golden Gate Acceptor Vector), with coding sequences, an RFP gene, and BsaI/BsmBI sites laid out on the backbone. Under the 2012-2013 era policy, this physical plasmid/assembly cartography is the central subject of the figure and is countable even though its annotations are restriction sites and cloning apparatus.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,1,True,True,True,"Each of the four panels carries a cartoon above the plot depicting the expressed construct as a backbone with sequence features — an RBS followed by an FP gene in panels a–c, and a bicistronic RBS1-gene1-RBS2-gene2 arrangement in panel d. These specify the composition and arrangement of the engineered constructs measured in the experiment, which is directly renderable in SBOL Visual glyphs, and the 2012–2013 policy counts such concrete construct schematics beside plots regardless of the surrounding data.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,2,True,True,True,"Figure 2 includes a linear construct schematic above the bar chart showing RBS 1, gene 1, a spacer region (arrow), RBS 2, and gene 2 laid out on a backbone, which specifies the composition and arrangement of the bicistronic construct that was built and measured. Under the 2012-2013 policy this concrete depiction of the experimental construct counts even though it is a small schematic accompanying a data plot.",
