doi,year,figure_number,image_path,historical_compatible,evaluator_compatible,evaluator_rationale,adjudicated_compatible,adjudication_rationale,reviewer,reviewed_at
10.1021/sb200003v,2012,1,images/10.1021__sb200003v__figure-1.png,False,True,"Panels A and D are schematics of the encapsulated plasmid set — distinct circular plasmids each carrying a labeled coding sequence (mreB, yfp-mreB, mreC) with transcription/translation arrows to the resulting protein products — which specifies the composition of the engineered expression system and its functional interactions, content directly expressible with SBOL Visual CDS, plasmid, and production glyphs. The remaining panels are fluorescence micrographs, but the construct depiction stands on its own as a design specification rather than a sequence annotation or cloning map.",,,,
10.1021/sb200005w,2012,2,images/10.1021__sb200005w__figure-2.png,True,False,"Figure 2 consists solely of two FACS scatter plots (panels a and b) of ECFP versus DsRed_E fluorescence overlaid with mathematical model fitting lines and insets of averaged data. It contains no depiction of a construct's sequence features, composition, or interactions, so there is nothing that could be drawn with SBOL Visual glyphs.",,,,
10.1021/sb200007r,2012,1,images/10.1021__sb200007r__figure-1.png,False,True,"Panel A is a schematic layout of the fusion constructs engineered in the study, showing each design as an ordered linear arrangement of modular coding parts (Venus, mRFP, Ceru, TM_TLR4/TM_PDGFR, FKBP12, FRB, NpuDnaE intein halves, KDEL) — a design specification of what was built, not a sequence annotation or cloning map. This composition of coding features could be rendered with SBOL Visual CDS/fusion glyphs, so the figure counts even though panels B–H are only micrographs.",,,,
10.1021/sb3000172,2012,1,images/10.1021__sb3000172__figure-1.png,False,True,"Panel A includes a linear construct map of the RACer chimera (pLyn–YFP–CaM–MLCKp–Rac1(2-47)–IQ2p–Rac1(48-188)) that specifies the composition and arrangement of an engineered fusion-gene design, which could be drawn with SBOL Visual glyphs. The surrounding binding-event cartoon and the data plots in the other panels do not negate that standalone design depiction, and it is neither a sequence annotation nor cloning cartography.",,,,
10.1021/sb300018h,2012,1,images/10.1021__sb300018h__figure-1.png,False,True,The panels specify the composition of engineered in vitro transcriptional circuits — modular DNA switch elements wired to RNA regulator/product species via inhibition and activation interactions — which is design specification of a nucleic-acid system rather than sequence annotation or cloning cartography. This circuit architecture and its molecular interactions could be rendered with SBOL Visual module and interaction glyphs.,,,,
10.1021/sb300018h,2012,7,images/10.1021__sb300018h__figure-7.png,False,True,"Panel A is a schematic diagram of an engineered nucleic-acid switch, laying out the transcription template with its RNAP-driven output plus the activator and inhibitor strands and the regulatory interactions among them, which is design content expressible with SBOL Visual nucleic-acid and interaction glyphs. The remaining panels (fluorescence time courses, gel) are data and do not affect that judgment.",,,,
10.1021/sb3000904,2012,1,images/10.1021__sb3000904__figure-1.png,True,False,"Figure 1 is a workflow/mechanism schematic of the Heritable Recombination cycle (mating, induction, in vivo mutagenesis, selection, sporulation) drawn as yeast cells carrying generically labeled plasmid circles ""C"" and ""T"". The plasmids are unelaborated tokens tracking cell contents through the protocol rather than depictions specifying the composition or arrangement of sequence features in an engineered construct.",,,,
10.1021/sb3000904,2012,2,images/10.1021__sb3000904__figure-2.png,True,False,"Panel (a) is a mechanism cartoon of endonuclease-induced double-strand-break recombination whose plasmid circles are incidental, unannotated sketches, and panel (b) is an annotated sequence map of the cassette region marked with I-SceI recognition/cleavage sites, homology arms, and the mutated codon — sequence annotation and cloning cartography rather than a design specification. The remaining panels are a bar chart, a sequence alignment, and a gel image.",,,,
10.1021/sb3000904,2012,3,images/10.1021__sb3000904__figure-3.png,True,False,"Panel (a) is a workflow schematic of the mating/recombination/sporulation/germination mutagenesis cycle, with small cartoon plasmid circles attached to its nodes that mark cassette identity, SceI sites, and repaired target genes rather than specifying an engineered construct's composition and arrangement as a design; panels (b) and (c) are plate photographs and a gel image.",,,,
10.1021/sb3000904,2012,4,images/10.1021__sb3000904__figure-4.png,True,False,"Panel (a) is a directed-evolution workflow schematic in which the single hisA gene arrow is marked with colored bars showing where the randomized codon positions (16-18, 167-169, 125/127/129) sit in the sequence — sequence annotation attached to a protocol diagram rather than a construct design specification; panels (b) and (c) are a protein crystal structure rendering and a mutation table. No panel lays out the composition or arrangement of an engineered nucleic-acid construct.",,,,
