doi,year,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb400003y,2013,1,True,True,True,"Each panel is headed by a cartoon of the expressed construct drawn on a backbone line with RBS and CDS features (monocistronic RBS+FP gene in a-c, bicistronic RBS1+gene1/RBS2+gene2 in d), and the caption states these schematics represent the constructs used. This nucleic-acid design content is directly renderable with SBOL Visual glyphs, even though the surrounding bar charts and kinetic plot are data.",
10.1021/sb400003y,2013,2,True,True,True,"Figure 2 includes a schematic panel above the bar chart depicting the bicistronic construct as sequence features laid out on a backbone (RBS 1 – gene 1 – RBS 2 – gene 2, with an arrow marking the variable spacer region), which is exactly the kind of nucleic-acid design content SBOL Visual glyphs represent. The accompanying bar chart and RNA sequence table are not themselves compatible, but conveying the tested construct's architecture is a purpose of the figure, not incidental.",
10.1021/sb400003y,2013,3,True,True,True,"Figure 3 includes a schematic panel above the bar chart that depicts the bicistronic construct as sequence features laid out on a backbone (RBS 1 – gene 1 – RBS 2 – gene 2, with an arrow marking the varied region upstream of RBS 2), which is exactly the kind of nucleic-acid design content SBOL Visual glyphs represent. Although the quantitative bar chart and sequence table are not themselves SBOL-renderable, communicating the construct's architecture is a primary purpose of that panel, so the figure counts as compatible.",
10.1021/sb400003y,2013,4,True,True,True,"The figure includes a construct schematic panel above the bar chart showing a bicistronic design laid out on a backbone (RBS 1 – gene 1 – RBS 2 – gene 2) with the varied spacer region marked, which is exactly the kind of sequence-feature arrangement SBOL Visual glyphs represent. Although the main quantitative panel is a bar chart, communicating the architecture of the tested constructs is a primary purpose of the figure.",
10.1021/sb400003y,2013,5,True,True,True,"Figure 5 includes a construct schematic panel showing the bicistronic operon design laid out on a backbone (RBS 1 – gene 1 – RBS 2 – gene 2, with the varied spacer region marked), which is exactly the kind of sequence-feature arrangement SBOL Visual glyphs represent. Although the bar chart and sequence table are data content, communicating the construct's design is a primary purpose of the accompanying panel.",
10.1021/sb400003y,2013,6,True,True,True,"Figure 6 includes a schematic panel of the bicistronic construct laid out on a backbone (RBS 1 – gene 1 – RBS 2 – gene 2, with an arrow marking the varied start codon), which is exactly the kind of sequence-feature design that SBOL Visual glyphs represent. Although the main quantitative content is a bar chart, communicating the design of the tested constructs is a primary purpose of the accompanying panel.",
10.1021/sb400066m,2014,1,False,False,True,"Figure 1 is a UML class diagram of the SBOL 1.1 data model, showing object classes (Collection, DnaComponent, DnaSequence, SequenceAnnotation) with their attributes and associations. It is a software data-structure schematic rather than a diagram of an engineered nucleic-acid construct's design, so no SBOL Visual glyphs could represent its content.",
10.1021/sb400066m,2014,2,False,False,True,"The figure is a screenshot of iBioSim's SBML model graphs — species, reactions, rules, parameters, and submodels — i.e., a depiction of mathematical/computational model structure rather than of a nucleic-acid construct's design. Although panel (b) includes a pTet promoter element with repression and production arcs, that appears as a modeling primitive within the SBML representation, not as a layout of sequence features or circuit composition that communicating the construct's design is a primary purpose of.",
10.1021/sb400066m,2014,3,False,False,True,"Figure 3 is a screenshot of the SBOL Browser software interface, showing list boxes, a filter-by-type combo box, and a text panel of metadata and raw DNA sequence for BBa_E0040. It contains no schematic layout of sequence features on a backbone or any other diagrammatic depiction of a construct's design, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/sb400066m,2014,4,False,True,False,"The figure draws the LacI inverter's DNA components as SBOL Visual glyphs (promoter, RBS, CDS, terminator) attached to the graph vertices, showing how those sequence features relate to the species and reactions they annotate. Communicating the composition of the engineered construct and its interactions with molecular species is integral to the figure, not incidental, so it falls within SBOL Visual's scope.",
10.1021/sb400066m,2014,5,False,True,False,"Although the figure's overall form is a model-composition graph, its submodel vertices carry explicit genetic-construct depictions — promoter, CDS, and terminator symbols arranged along a backbone line — and the caption states these are SBOL visual symbols for the subcomponents of the composite DNA components. Communicating the design of the assembled LacI/TetR inverter constructs is therefore an integral purpose of the figure, not an incidental sketch.",
10.1021/sb400066m,2014,6,False,False,True,"Figure 6 is a state-machine (DFA) diagram of labeled states and transitions representing a regular expression, not a depiction of a nucleic-acid construct's layout or composition. The edge labels name part types (promoter, RBS, CDS, terminator) but no sequence features are drawn on a backbone and no construct design is communicated, so it falls under conceptual/computational schematics rather than SBOL Visual content.",
10.1021/sb400066m,2014,7,False,False,True,"Figure 7 is a color-coded XML/RDF code listing showing the syntax of an SBML-to-SBOL annotation, not a diagram of a nucleic-acid construct. Although it references DNA components as URIs, it depicts no sequence features, backbone layout, or molecular interactions that SBOL Visual glyphs could represent.",
10.1021/sb400091p,2014,1,False,True,False,"Panels A and D are schematic maps of an engineered nucleic-acid construct: linear promoter backbones annotated with sequence features (TATA boxes and other TFBS motifs) and the assembly of those features into the synthetic core promoter pCore11. Communicating the design of that construct is a primary purpose of the figure, so it could be drawn with SBOL Visual glyphs.",
10.1021/sb400091p,2014,2,False,True,False,"Panel A is a design schematic of engineered pAOX1 core promoter variants, drawing each construct as a linear DNA element with annotated sequence features (TATA box, TSS, transferred pCore11 regions, yellow length-correction insertions) — content directly expressible with SBOL Visual promoter and sequence-feature glyphs. Panel B is a bar chart of expression data and is not itself compatible, but communicating construct design is a primary purpose of panel A, which is sufficient under the checklist.",
10.1021/sb4001118,2014,1,False,False,True,"The figure is a protein-level conceptual schematic of the Pdu bacterial microcompartment shell, its metabolic pathways (1,2-PD utilization vs. ethanol production), and signaling-peptide-mediated enzyme targeting, with protein structure renderings. It shows no nucleic-acid sequence features, backbone layout, or genetic construct design, so there is nothing that SBOL Visual glyphs would represent.",
10.1021/sb4001118,2014,2,False,False,True,"Panels (a) and (b) are protein-only NMR structural renderings of the P18 peptide (ribbon model and solvent-accessible surface colored by STD transfer), and panel (c) is a bar chart of qSTD amplification factors. There is no nucleic-acid construct, sequence-feature layout, or genetic circuit design content that could be represented with SBOL Visual glyphs.",
10.1021/sb4001118,2014,3,False,False,True,"Figure 3 consists solely of six NMR data plots (NOE intensity vs. mixing time) for a peptide in the presence and absence of PduK protein. It contains no nucleic-acid design content, sequence features, or construct architecture that SBOL Visual glyphs could represent.",
10.1021/sb4001118,2014,4,False,False,True,"Figure 4 consists solely of transmission electron micrographs of E. coli thin sections showing APEX/DAB staining localization; it contains no diagram of construct architecture, sequence features, or genetic circuit composition. Although the caption names the pduABJKNU genes carried by the strains, that is strain annotation rather than a design diagram, so no panel is renderable in SBOL Visual.",
10.1021/sb4001118,2014,5,False,False,True,"Figure 5 is a single time-course data plot of ethanol concentration (mM, normalized to OD600 = 1) versus time for four E. coli strains, with error bars and a symbol legend. It contains no diagram of sequence features, plasmid or circuit composition, or construct-level interactions, so there is nothing that SBOL Visual glyphs could represent.",
10.1021/sb4001118,2014,6,False,False,True,"Figure 6 consists solely of ethanol-production time-course line graphs (panels a, c) and SDS-PAGE gel images (panels b, d). No panel depicts nucleic-acid sequence features, plasmid/circuit composition, or construct design, so there is nothing that SBOL Visual glyphs could represent.",
10.1021/sb4001118,2014,7,False,False,True,"Figure 7 consists solely of photographs of centrifuged tubes and SDS-PAGE gel images showing protein solubility across NaCl concentrations. It contains no diagram of nucleic-acid sequence features, construct composition, or genetic circuit architecture that could be drawn with SBOL Visual glyphs.",
10.1021/sb4001118,2014,8,False,False,True,"Figure 8 consists solely of TEM and AFM micrographs (a, b), an SDS-PAGE gel (c), and a bar chart of specific activity (d). No panel is a diagram of a nucleic-acid construct, plasmid, or genetic circuit, so there is nothing that could be drawn with SBOL Visual glyphs.",
10.1021/sb400156v,2014,1,False,False,True,"Figure 1 consists solely of two bar charts (panels A and B) reporting percent survival data for control and library strains under ethanol exposure. It contains no diagram of construct architecture, sequence features, or plasmid composition, so there is nothing that SBOL Visual glyphs could represent.",
10.1021/sb400156v,2014,2,False,False,True,"Figure 2 is a single bar chart of percent survival across plasmid/strain combinations, with fold-improvement values and significance markers. It presents quantitative assay data only and contains no diagram of construct architecture or sequence features, so there is nothing that SBOL Visual glyphs would render.",
10.1021/sb400156v,2014,3,False,False,True,"All four panels (A–D) are quantitative data plots — bar charts of growth enrichment ratios and a line chart of cell density over time. Plasmid names appear only as axis labels; no panel depicts sequence features, plasmid composition, or functional interactions that SBOL Visual glyphs could represent.",
10.1021/sb400156v,2014,4,False,False,True,"Figure 4 is a single bar chart of GE_V6 growth-assay values across plasmid-bearing strains, with error bars and a significance marker. It presents quantitative results only and contains no diagram of construct architecture, plasmid composition, or molecular interactions that SBOL Visual glyphs could represent.",
10.1021/sb400156v,2014,5,False,False,True,"Figure 5 consists solely of four bar charts (panels A–D) reporting percent survival and GEV6 data for E. coli strains under ethanol and n-butanol stress. Plasmid names appear only as axis labels; no panel depicts sequence features, plasmid composition, or construct architecture that could be drawn with SBOL Visual glyphs.",
10.1021/sb400156v,2014,6,False,False,True,"Figure 6 consists solely of four data plots (cell density, glucose, ethanol, and viable cell counts over time) from fermentation experiments. Although the caption names plasmid combinations, no panel depicts construct architecture, sequence features, or molecular interactions that SBOL Visual glyphs could represent.",
10.1021/sb400156v,2014,7,False,False,True,"Figure 7 is a cyclic workflow/protocol schematic of a library screening and enrichment method (extract DNA, construct library, transform, screen, isolate, incorporate, repeat), not a depiction of a construct's design. The small 'DNA Brick' sketch with Gene A/B/C arrows and the plasmid circles are incidental illustrative elements within the workflow, which the historical checklist excludes from counting.",
10.1021/sb500084f,2014,1,False,True,False,"The figure diagrams cis-regulatory architecture directly on a DNA backbone — operator sites O_A and O_B, core promoter elements, and transcription start arrow — in adjacent and overlapping arrangements, with transcription factors TFa/TFb shown binding those operators. This sequence-feature layout and protein–DNA interaction content is exactly what SBOL Visual operator, promoter, and interaction glyphs express, and communicating that arrangement is the figure's primary purpose.",
10.1021/sb500084f,2014,2,False,False,True,"All three panels (A, B, C) are stacked bar charts quantifying counts of overlapping and adjacent transcription-factor binding-site pairs classified as same or opposite effect. The figure presents statistical data only, with no diagram of a nucleic-acid construct, sequence-feature layout, or circuit composition that could be drawn with SBOL Visual glyphs.",
10.1021/sb500084f,2014,3,False,False,True,"Figure 3 consists solely of three WebLogo sequence logos (panels A–C) plotting per-position information content in bits for the CRP, Fis, and IHF binding motifs. These are statistical data plots of position weight matrices, not diagrams of an engineered construct's design, so there is no sequence-feature layout or circuit composition that SBOL Visual glyphs could represent.",
10.1021/sb500084f,2014,4,False,False,True,"Figure 4 consists solely of three hexbin scatter density plots comparing binding-site PWM scores (CRP-Fis, CRP-IHF, Fis-IHF) in random sequence data sets. It is purely a data plot with no depiction of construct architecture, sequence features on a backbone, or molecular interactions.",
10.1021/sb500084f,2014,5,False,False,True,"Figure 5 consists solely of four line plots (A-D) showing average PWM scores versus generation for CRP, Fis, IHF, and fitness during an evolutionary optimization. It contains no depiction of sequence features, construct layout, or molecular interactions, so there is nothing that SBOL Visual glyphs could represent.",
10.1021/sb500084f,2014,6,False,True,False,"Panel A is a linear construct map of the lac promoter reporter insert, showing the CRP operator, -35/-10 RNAP binding boxes, lacO operator, and EcoRI/BamHI restriction sites on a backbone upstream of a GFPlva reporter. Communicating this construct's design is a primary purpose of the figure, and these sequence features map directly onto SBOL Visual glyphs even though panels B and C are micrographs and bar charts.",
