doi,year,era,benchmark_partition,prompt_profile,judging_mode,self_consistency_samples,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,1,False,False,True,"Panel A is a protein-only conceptual mechanism schematic of a LOV2-caspase-7 fusion, with no engineered nucleic-acid construct design. The remaining panels are data plots, a gel image, and fluorescence micrographs.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,2,False,False,True,All panels are fluorescence micrographs showing the spatial effects of illumination on cells expressing L57V. The figure contains no diagram specifying the composition or arrangement of an engineered nucleic-acid construct or system.,
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,3,False,False,True,All panels are quantitative cell-death plots or fluorescent gel images. None communicates the composition or arrangement of an engineered nucleic-acid construct or its functional interactions.,
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,4,False,False,True,"Figure 4 consists of fluorescence micrographs, a time-series intensity-ratio plot, and false-color FRET images showing cellular ATP and Ca2+ responses. It does not depict the composition or arrangement of an engineered nucleic-acid construct or system.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,5,False,False,True,Figure 5 consists entirely of fluorescence micrographs showing MitoSensor localization and its changes over time in transfected and nontransfected COS7 cells. No panel depicts the composition or arrangement of an engineered nucleic-acid construct or its functional interactions.,
10.1021/sb300061x,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,1,False,False,True,"Figure 1 is a gas chromatogram data plot comparing alkane-production conditions, with an inset condition table and labeled chemical peaks. It does not depict the composition or arrangement of an engineered nucleic-acid construct or system.",
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,1,True,False,False,Figure 1 is a mutagenesis workflow and base-pairing mechanism schematic showing primer-directed PCR and isothermal assembly. Its plasmid and DNA-fragment depictions document cloning operations and mutation sites rather than specifying the composition and arrangement of an engineered construct.,
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,2,True,False,False,"All three panels are cloning and mutagenesis workflow schematics built from conventional plasmid/vector maps, PCR fragments, primer or mutation sites, restriction sites, and assembly arrows. They document how cloning products were generated rather than specifying an engineered construct’s functional genetic composition.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,1,True,True,True,"Panels a–d include schematic designs of engineered expression constructs, with RBS and coding-sequence features arranged on linear backbones; panel d additionally specifies a bicistronic RBS1–gene 1–RBS2–gene 2 design. These depictions communicate construct composition rather than sequence annotation or cloning cartography.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,2,True,True,True,"Figure 2 includes a schematic specifying the arrangement of an engineered bicistronic construct, with RBS 1, gene 1, RBS 2, and gene 2 laid out on a backbone. This construct-design panel makes the figure compatible even though the main panel is a data plot.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,3,True,True,True,"Figure 3 includes a linear engineered bicistronic construct diagram specifying the arrangement of RBS 1, gene 1, RBS 2, and gene 2. This is a construct design depiction rather than merely sequence annotation or cloning cartography.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,4,True,True,True,"The figure includes a schematic of an engineered bicistronic construct, showing RBS 1, gene 1, RBS 2, and gene 2 arranged on a backbone. This panel specifies the construct design whose RBS-to-start-codon spacing is varied, so it is compatible despite the accompanying data plot and sequence table.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,5,True,True,True,"Figure 5 includes a construct-design schematic showing RBS 1, gene 1, RBS 2, and gene 2 arranged on a nucleic-acid backbone, with the experimentally varied region indicated. This specifies the composition of an engineered bicistronic construct rather than merely annotating a native sequence or documenting cloning cartography.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,6,True,True,True,"Figure 6 includes a primary construct-design schematic showing a bicistronic nucleic-acid arrangement with RBS 1, gene 1, RBS 2, and gene 2 on a backbone, with the varied start-codon position indicated. The accompanying bar chart does not negate the compatibility of this construct-design panel.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,1,False,False,True,"Figure 1 presents a protein residue-contact graph, a protein structure, and a protein sequence alignment used to define recombination blocks. It contains no engineered nucleic-acid construct design, genetic circuit, or functional interaction involving such constructs.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,2,False,False,True,Figure 2 contains only quantitative thermostability data plots: a bar chart of chimera TA50 measurements and a scatter plot comparing TR50 with TA50. No panel depicts the composition or arrangement of an engineered nucleic-acid construct or system.,
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,3,False,False,True,"Figure 3 contains only scatter plots comparing predicted and measured thermostability and bar charts of modeled block contributions. It presents quantitative protein thermostability data and a linear model, with no engineered nucleic-acid construct design or functional interaction diagram.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,4,False,False,True,Figure 4 contains only scatter plots comparing predicted and measured thermostability values for chimeric cellulases. It does not depict the composition or arrangement of an engineered nucleic-acid construct or system.,
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,5,False,False,True,Figure 5 contains only bar charts showing changes in protein thermostability for point mutations in two blocks. It does not depict the composition or arrangement of an engineered nucleic-acid construct or any construct–species interactions.,
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,6,False,False,True,"Figure 6 is solely a data plot of normalized enzyme activity versus temperature for wild-type and F362M protein variants. It contains no engineered nucleic-acid construct design, sequence-feature layout, genetic circuit, or construct–species interaction diagram.",
10.1021/sb400019s,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,1,True,False,False,"Panel a is a protein-level schematic of engineered pIII cleavage and sortase-mediated labeling, not a nucleic-acid construct design. Panel b contains gel and immunoblot data, so no panel communicates the composition of an engineered genetic construct.",
10.1021/sb400019s,2013,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,2,True,False,False,"Panel (a) is a protocol schematic for orthogonally labeling phage coat proteins with fluorophores, not a specification of an engineered nucleic-acid construct or system. Panel (b) contains fluorescence and immunoblot gel images only.",
