doi,year,era,benchmark_partition,prompt_profile,judging_mode,self_consistency_samples,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,1,True,True,True,"Panel b lays out the concrete feedback-repression construct as a linear arrangement of sequence features (RNA motif, L7Ae CDS, ECFP, IRES, DsRed_E) on a backbone, specifying the composition of the engineered transcript that was built and measured. The mechanism cartoon (a), secondary-structure motifs (c), and FACS plots (d, e) do not detract from that countable design depiction.",
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,2,True,False,False,"The figure consists solely of FACS log-log dot plots with model fit lines and insets, accompanied by an SPR binding-constant table; it presents data and a mathematical model rather than any depiction of a construct's composition or arrangement.",
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,3,True,True,True,"Panel a depicts two concrete engineered constructs as linear feature layouts — K-turn/K-loop motif with L7Ae-ECFP, IRES and DsRed_E, plus a K-turn or defective K-turn upstream of EGFP — specifying the cis/trans dual-regulation design that was cotransfected. Panel b is a data plot, but the construct depiction counts on its own terms.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,1,False,True,False,"Panel A is a concrete domain-architecture schematic of the specific engineered fusion measured in the paper (LOV2 with its Jα helix fused to the caspase-7 p20/p11 catalytic domain, i.e., L57V), which the 2012-2013 era standard counts as a construct depiction even though it sits inside a mechanism panel and the remaining panels are plots, gels, and micrographs.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,2,False,False,True,The figure consists entirely of fluorescence micrographs of COS7 cells at low and high magnification with an illumination zone marked; there is no schematic depiction of any construct or its composition.,
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,3,False,False,True,"All panels are quantitative bar charts, time courses, and PAGE gel images; construct variants appear only as axis labels, with no diagram of their composition or arrangement.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,4,False,False,True,"The panels are fluorescence and FRET-ratio micrographs plus an intensity-ratio plot; the sensor and source constructs are described only in the caption text, never drawn.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,5,False,False,True,"The figure is a time series of fluorescence micrographs showing MitoSensor redistribution, containing no construct schematic or any other diagrammatic design content.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,1,False,False,True,Panels A–F are abstract signal-flow topologies drawn as generic boxes and circles labeled 'Switch'/'Signal' with activation and inhibition arrows. The 2012-era standard excludes purely abstract gene-circuit topology and logic diagrams whose nodes depict no concrete physical construct.,
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,2,False,True,False,"The top of panels A and B lay out the concrete engineered switch design: the DNA template T with its incomplete/completed T7 promoter region, the activator strand that completes it, the downstream RNA-encoding region, and transcription by RNAP producing rO. That is a promoter-plus-output construct specification, expressible with SBOL Visual glyphs, and it identifies the actual experimental material.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,3,False,False,True,"This is a nucleotide-level sequence listing showing which bases of T, A, dI, and rA pair with which, i.e., a base-pairing/sequence illustration rather than a diagram of a construct's feature composition along a backbone. It documents sequence detail rather than specifying a construct layout.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,4,False,False,True,"All boxed panels are toehold-mediated hybridization and strand-displacement mechanisms (activation, annihilation, inhibition, release, interfering, recovering, recapturing) plus a non-denaturing gel; no promoter, transcription, or construct architecture is specified. The era standard explicitly excludes strand/domain interaction mechanisms of this kind.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,5,False,True,False,"The left 'Transcription' reaction diagram depicts the specific ON-state T·A and OFF-state T templates with their promoter regions being transcribed by RNAP into rA — a concrete depiction of the engineered construct measured in the accompanying gels, which the era standard counts even as a small schematic beside data.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,6,False,False,True,"Panel A is schematic production/degradation curves with fixed points, panel B a denaturing gel, and panel C a scatter plot. Nothing in the figure depicts a nucleic-acid construct's design.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,7,False,True,False,"Panel A schematizes the actual self-activating switch used in the experiment — the T (OFF)/T·A (ON) template with its promoter, transcription by RNAP, and the specific Cy5-labeled activator and quencher-labeled inhibitor variants being measured. That concrete identification of the engineered construct is countable under the 2012-era rule even inside a mechanism panel.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,8,False,False,True,Panels A–C are entirely quantitative data plots of measurements against ensemble model predictions and parameter sensitivity sweeps. Data plots and mathematical model output carry no construct design content.,
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,9,False,False,True,"The figure consists of parameter histograms, an eigenvalue mode spectrum, and an eigenvector covariance heat map from Monte Carlo sampling. This is purely statistical model analysis with no nucleic-acid design depiction.",
10.1021/sb300049p,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,1,False,False,True,Panel (a) is a conceptual central-dogma/mechanism schematic (DNA → mRNA → protein → packaging/self-assembly in a test tube) whose DNA is a bare unannotated circle with no sequence features or construct composition; panels (b) and (c) are a growth curve and a TEM micrograph.,
10.1021/sb300049p,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,2,False,False,True,"All panels are quantitative data: PFU titer plots, a bar chart of thymidine incorporation, agarose gel images, and a band-intensity kinetic plot. No construct or sequence-feature depiction appears.",
10.1021/sb300049p,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,3,False,False,True,"Both panels are bar charts of phage titer across strain and supplement conditions; the trxA+/trxA− distinction is conveyed only by axis labels, with no schematic of the engineered construct or genome.",
10.1021/sb300049p,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,4,False,False,True,"The figure is a single transmission electron micrograph of ΦX174 particles, which is a photograph rather than any diagram of nucleic-acid design.",
10.1021/sb300053s,2012,2012-2013,calibration,historical_2025_era_v3,whole_paper,1,1,False,False,True,"All panels are nucleotide-level RNA secondary-structure and base-pairing folds of hammerhead ribozymes and their targets, plus gels and kinetic plots; panel (e) is an annotated sequence map marking where effector domains and spacers sit in the target RNA rather than a construct design laid out on a backbone.",
