doi,year,era,benchmark_partition,prompt_profile,judging_mode,self_consistency_samples,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,False,True,False,Panel A depicts the specific engineered L57V LOV2–caspase-7 fusion and its domain arrangement within proposed photoactivation mechanisms. The 2012–2013 policy counts concrete experimental protein/domain designs even without nucleic-acid design content.,
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,2,False,False,True,"All six panels are fluorescence micrographs showing cell morphology before and after localized illumination. None depicts a construct, protein/domain variant design, or assembly, so the 2012–2013 exceptions do not apply.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,3,False,False,True,"Panels A–E and H are cell-death data plots, and panels F–G are fluorescent gel images. Although the plots name engineered protein variants, no panel depicts a concrete construct, domain design, or assembly, so the 2012–2013 exception does not apply.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,4,False,False,True,"All panels show fluorescence micrographs, pseudocolor FRET images, or a time-course data plot. None depicts the physical design of an engineered construct, protein/domain variant, or experimental assembly.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,5,False,False,True,"All panels (A–G) are fluorescence micrographs showing mitochondrial dye localization over time. None depicts a construct, protein/domain variant, or assembly design, so the figure is not compatible even under the 2012–2013 policy.",
10.1021/sb300061x,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,False,False,True,"Figure 1 shows gas chromatogram traces and an inset table of enzyme-expression and propanoate conditions. It contains no concrete construct, protein/domain variant, or assembly design depiction that would qualify under the 2012–2013 policy.",
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,True,True,True,"Panel a centrally depicts plasmid mutagenesis and assembly, including primer positions, mutation sites, and the assembled circular product. The 2012–2013 policy counts this conventional physical cartography, even though panel b illustrates the assembly mechanism.",
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,2,True,True,True,"Panels a–c centrally depict concrete plasmid constructs and their modification through point mutations, deletion, insertion, and assembly. The 2012–2013 policy explicitly counts these conventional mutagenesis and cloning maps, including their primers and restriction sites.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,True,True,True,"The schematics above the plots specify the measured expression constructs, including RBS–fluorescent-protein gene arrangements and a bicistronic RBS1–gene1–RBS2–gene2 design. These concrete experimental construct depictions count under the 2012–2013 policy even alongside data plots.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,2,True,True,True,"Figure 2 includes a concrete bicistronic construct schematic showing RBS 1, gene 1, RBS 2, and gene 2 along a backbone, with the varied spacer region indicated. This identifies the engineered design measured in the accompanying plot and qualifies under the 2012–2013 policy.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,3,True,True,True,"Figure 3 includes a concrete bicistronic construct schematic showing RBS 1, gene 1, RBS 2, and gene 2 along a backbone, with the experimentally varied region indicated. This experimental design depiction qualifies under the 2012–2013 policy even alongside a data plot and sequence table.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,4,True,True,True,"The schematic specifies the experimental bicistronic construct, arranging two RBSs and two genes on a backbone and indicating the varied spacer. This concrete experimental design counts under the 2012–2013 policy even as a small schematic accompanying a data plot.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,5,True,True,True,"Figure 5 includes a concrete bicistronic construct schematic with RBS1, gene 1, RBS2, and gene 2 arranged along a backbone, marking the region varied experimentally. Under the 2012–2013 policy, this experimental design depiction counts even though it accompanies a data plot and sequence table.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,6,True,True,True,"The schematic above the bar chart depicts the engineered bicistronic construct, arranging two RBSs and two genes along a backbone and marking the varied start-codon position. This concrete experimental design qualifies under the 2012–2013 policy.",
