doi,year,era,benchmark_partition,prompt_profile,judging_mode,self_consistency_samples,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,1,True,True,True,"Panel b lays out the concrete feedback-repression construct as a design — RNA motif, L7Ae and ECFP coding sequences, an IRES, and DsRed_E arranged on a single linear cassette — which is exactly the engineered material measured in panels d and e. Under the 2012-2013 boundary, such a concrete construct schematic beside a mechanism panel and data plots counts, regardless of the figure's overall mechanistic subject.",
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,2,True,False,False,"Figure 2 consists solely of two FACS scatter plots (ECFP vs DsRed-E) with fitted model lines and inset plots; there is no schematic of the engineered construct, only legend text naming the K-turn/K-loop and L7Ae variants. With no depiction of construct composition or physical cartography, it falls under the data-plot/mathematical-model exclusion.",
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,3,True,True,True,"Panel (a) lays out the concrete engineered constructs used in the experiment as sequence features on a line — a K-turn/K-loop motif upstream of an L7Ae-ECFP coding sequence joined by an IRES to DsRedE, plus a second K-turn or defective-K-turn EGFP construct — with the trans/cis regulatory interactions between the L7Ae-ECFP protein and those transcripts drawn in. This is a design specification of the measured constructs, renderable with SBOL Visual glyphs, and under the 2012-2013 policy such concrete experimental construct depictions count even alongside the FACS plot in panel (b).",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,1,False,True,False,"Panel A is a concrete depiction of the specific engineered fusion construct measured in the experiments — the LOV2 domain fused to the truncated caspase-7 p20/p11 catalytic domains (L57V) — showing its domain composition and arrangement rather than an abstract topology. Under the 2012-2013 era policy such concrete experimental construct/domain-variant schematics count even when embedded in a mechanism panel alongside plots, gels, and micrographs.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,2,False,False,True,"Figure 2 consists entirely of fluorescence micrographs of COS7 cells (panels A-F) at low and high magnification, with a dotted circle marking the illuminated zone. It contains no schematic of a construct, plasmid, or sequence features, so there is nothing an SBOL Visual rendering could express.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,3,False,False,True,"Figure 3 consists entirely of bar charts and time-course plots of cell death (A–E, H) plus Native-PAGE and SDS-PAGE gel images (F, G), with construct identities conveyed only as text labels on axes. No panel depicts the composition or arrangement of an engineered construct, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,4,False,False,True,"Figure 4 consists solely of fluorescence micrographs (panels A–C, E) and a FRET intensity-ratio time plot (panel D); no panel depicts a construct, plasmid, or fusion-protein schematic. The transfected constructs (L57-mRFP, YFP/CFP biosensor, P2X2-CFP) are named only in the caption, so there is no concrete physical design depiction to count.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,5,False,False,True,"Figure 5 consists solely of fluorescence micrographs of COS7 cells (panels A–G) at various timepoints showing MitoSensor dye redistribution; it contains no construct, plasmid, or sequence-feature depiction of any kind, only experimental imaging data.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,1,False,False,True,"All six panels are abstract network topology diagrams — generic boxes labeled ""Switch"" and circles labeled ""Signal"" wired by activation/inhibition arrows — with no depiction of the concrete physical DNA construct (promoters, templates, sequence domains, or backbones) underlying the genelets. Under the 2012-2013 boundary, purely abstract gene-circuit topology and logic diagrams whose nodes do not show the experimental material's physical design are not counted.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,2,False,False,True,"Figure 2 is a strand/domain-level reaction mechanism for in vitro transcriptional switches (template, activator, inhibitor strands with color-coded complementary domains) paired with schematic kinetic curves, not a depiction of a concrete engineered construct's composition. Under the 2012-era boundary, such abstract hybridization/domain interaction mechanisms are not counted, matching the panel's treatment of DNA strand-displacement mechanism figures.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,3,False,False,True,"Figure 3 lists the raw nucleotide sequences of the DNA/RNA strands and their annealed duplex/secondary-structure complexes, which is a base-pairing and sequence-domain illustration rather than a depiction of construct composition — the same category the panel excluded for domain-level strand-displacement species (cf. acssynbio.6b00009 Fig 1). No panel lays out promoter/CDS/terminator features as a design to build; the color-coded domains annotate complementarity within given sequences.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,4,False,False,True,"Figure 4 consists of abstract domain-level DNA/RNA hybridization and toehold-mediated strand-displacement reaction schematics (activation, annihilation, inhibition, release, interfering, recovering, recapturing) alongside a nondenaturing gel image. The colored strand arrows depict base-pairing mechanism and thermodynamics rather than the concrete physical design of an engineered construct, matching the early panel's exclusion of strand/domain interaction mechanisms.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,5,False,True,False,"The left-hand reaction diagrams depict the concrete engineered nucleic-acid constructs used in the experiment — the T·A (ON) and T (OFF) transcription templates with their RNAP-driven output rA, plus the rA·dI duplex — as strand-level physical designs rather than abstract domain nodes. Under the 2012-2013 boundary, such concrete depictions of the specific experimental material count even when embedded in a mechanism panel beside gels and plots.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,6,False,False,True,"Figure 6 consists only of schematic production/degradation rate curves (A), a denaturing gel image (B), and a scatter plot of final versus initial rA concentration (C). No panel depicts the physical composition or arrangement of an engineered nucleic-acid construct — the template/strand schematics appear in Figure 5, not here.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,7,False,False,True,"Panel A is a strand-level reaction/mechanism diagram of RNA-DNA hybridization and enzymatic turnover (A, dI, T·A, RNase H, RNAP) with fluorophore/quencher labels, and panels B-D are fluorescence time courses and a denaturing gel. Like the buffered strand-displacement calibration case, its nodes depict interacting strands and complexes rather than the composition and arrangement of an engineered construct as a design.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,8,False,False,True,"Figure 8 consists entirely of data plots and model-prediction curves (training fits, time courses, and sensitivity scans of experimental variables); no panel depicts a nucleic-acid construct, sequence features, or a physical design schematic.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,9,False,False,True,"Figure 9 consists entirely of histograms, an eigenvalue mode-spectrum plot, and a covariance/eigenvector heat map from Monte Carlo parameter estimation. No panel depicts a nucleic-acid construct, sequence features, or a physical plasmid/assembly cartography — it is purely statistical output of a mathematical model.",
10.1021/sb300049p,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,1,False,False,True,"Panel (a) is an abstract TX-TL/central-dogma flow cartoon in which the DNA node is a generic circle labeled with replication rather than a depiction of the physical T7 genome's or plasmid's part composition, and panels (b) and (c) are a growth-curve plot and a TEM micrograph. Nothing in the figure lays out sequence features or identifies a concrete engineered construct design.",
10.1021/sb300049p,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,2,False,False,True,"Figure 2 consists entirely of data plots (panels a-d, g) and agarose gel images (panels e, f) characterizing T7 phage synthesis and DNA replication kinetics. No panel depicts a construct's composition, sequence features on a backbone, or any physical cartography of an engineered nucleic-acid design.",
10.1021/sb300049p,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,3,False,False,True,"Figure 3 consists solely of two bar charts of phage titer (PFU/mL) across trxA+/trxA− cell-free systems with and without dNTPs, ddTTP, or added thioredoxin. No panel depicts a construct, plasmid map, or arrangement of sequence features — it is purely quantitative data.",
10.1021/sb300049p,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,4,False,False,True,"Figure 4 consists solely of a transmission electron micrograph of cell-free-synthesized ΦX174 phage particles with a 100 nm scale bar. It contains no construct schematic, sequence-feature layout, or other nucleic-acid design depiction that SBOL Visual glyphs could represent.",
10.1021/sb300053s,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v1,per_figure,1,1,False,True,False,"Panels d–g and especially panel e lay out the concrete engineered constructs used in the experiments — the allosteric AND/OR ribozyme variants (Y = U or C) with their two oligonucleotide-binding sites, and the target RNA drawn as a modular arrangement of effector domains E1 and E2, a variable poly-A spacer, and the substrate domain. Under the 2012–2013 boundary these are concrete depictions of the specific engineered nucleic-acid designs measured in the accompanying gels and kinetics, not abstract strand/domain topology.",
