doi,year,era,benchmark_partition,prompt_profile,judging_mode,self_consistency_samples,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,True,True,True,"Panel b lays out the concrete engineered feedback-repression construct measured in the experiment as an ordered arrangement of sequence features — K-turn RNA motif, L7Ae and ECFP coding sequences, an IRES, and DsRed_E on a linear backbone, with the L7Ae protein's repressive action on its own mRNA indicated. This is a design specification of the experimental material, not a sequence annotation or cloning map, so it counts under the early panel's boundary even though the rest of the figure is a mechanism cartoon, RNA secondary structures, and data plots.",
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,2,True,False,False,"Figure 2 consists solely of two FACS scatter plots (panels a and b) with model-fit lines and inset fluorescence plots; it contains no depiction of a construct's physical composition, only data and a mathematical model fit. The engineered constructs are identified merely by legend text labels, not by any concrete schematic.",
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,3,True,True,True,"Panel (a) lays out the concrete engineered transcripts measured in the experiment — a K-turn/K-loop motif upstream of an L7Ae-ECFP coding sequence joined via IRES to DsRed, plus a second K-turn/defective-K-turn EGFP construct — with the cis and trans regulatory interactions drawn between them. Under the 2012-2013 policy this concrete depiction of the specific experimental constructs beside the FACS plot is countable, and it maps directly onto SBOL Visual sequence-feature and interaction glyphs.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,False,True,False,"Panel A lays out the concrete domain composition of the engineered LOV2-caspase-7 fusion (LOV2 joined to the p20/p11 catalytic domains) that is the actual experimental material assayed in panels B-H, which the 2012-2013 panel counted as a concrete engineered construct/domain-variant depiction even when embedded in a mechanism cartoon. It is not abstract circuit topology or a generic model diagram, so the exclusions do not apply.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,2,False,False,True,"Figure 2 consists entirely of fluorescence micrographs of COS7 cells at low and high magnification, with arrows and a dotted circle marking the illuminated zone. No panel depicts a construct's composition or arrangement — there is no schematic of the L57V fusion, plasmid, or any nucleic-acid design.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,3,False,False,True,"Figure 3 consists entirely of bar and time-course plots (A–E, H) plus Native-PAGE/SDS-PAGE gel images (F, G); no panel depicts a construct, plasmid, or domain schematic. Variants such as L57V, bL57V, and dL57V appear only as axis labels, not as concrete design depictions.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,4,False,False,True,"Figure 4 consists solely of fluorescence micrographs (panels A-C), an intensity-ratio time plot (panel D), and false-color FRET-ratio images (panel E); no panel depicts a construct's composition or arrangement. The transfected constructs (L57-mRFP, YFP/CFP Ca2+ biosensor, P2X2-CFP) are named only in the caption and text, never drawn as a schematic.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,5,False,False,True,"Figure 5 consists solely of fluorescence micrographs of L57V-transfected and nontransfected COS7 cells at successive time points, with no schematic panel depicting a construct, plasmid, or sequence design. There is no diagrammatic content of any kind for SBOL Visual glyphs to represent.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,False,False,True,"Figure 1 is an abstract switch-topology diagram: labeled boxes (""Switch"") and circles (""Signal"") joined by activation/inhibition arrows to depict inverter, repeater, bistable, and oscillator circuit motifs. Under the 2012-2013 boundary, purely abstract gene-circuit topology whose nodes do not depict the concrete physical design of the experimental construct was not counted.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,2,False,False,True,"Figure 2 is a strand/domain hybridization and reaction-mechanism diagram paired with schematic kinetic and steady-state plots; the color-coded T, A, rI/rA strands function as base-pairing mechanism nodes rather than a concrete physical design of an engineered construct. The 2012-2013 panel excluded strand/domain interaction mechanisms and abstract switch depictions of this kind, as it did for Figure 1 of the same paper.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,3,False,False,True,"Figure 3 renders nucleotide-level strand sequences and their base-paired duplex/secondary-structure complexes, color-coded by complementary domain, which is a hybridization and strand-displacement mechanism illustration rather than a depiction of a construct's feature composition on a backbone. The early-era panel excluded such strand/domain base-pairing diagrams, consistent with its exclusion of this same paper's abstract switch-topology figure.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,4,False,False,True,"Figure 4 consists of strand/domain-level hybridization and toehold-mediated strand displacement mechanism cartoons paired with a non-denaturing gel image, depicting reaction pathways and free-energy changes rather than the composition of an engineered construct. The 2012-2013 panel explicitly excluded strand/domain interaction mechanisms whose elements do not lay out a concrete physical construct design, consistent with its exclusion of the abstract switch diagrams in this same paper.",
