doi,year,era,benchmark_partition,prompt_profile,judging_mode,self_consistency_samples,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,False,True,False,"Panel A concretely depicts the engineered LOV2–caspase-7 fusion protein L57V and specific domain configurations proposed for the measured experiment. Under the 2012–2013 publication-era exception, this identifiable engineered protein/domain design is countable even without nucleic-acid features.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,2,False,False,True,"Figure 2 consists entirely of fluorescence micrographs showing cells before and after spatially localized illumination. No panel depicts an engineered construct, protein/domain variant, plasmid, or other concrete experimental design.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,3,False,False,True,"All panels are quantitative data plots or fluorescent gel images. Although engineered L57V variants and transfected constructs are named, no panel concretely depicts a construct, protein/domain variant, or physical design.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,4,False,False,True,"Figure 4 contains fluorescence micrographs, a time-series intensity-ratio plot, and false-color FRET images. Although the caption names transfected constructs, no panel concretely depicts their physical design, composition, or arrangement.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,5,False,False,True,"Panels A–G are fluorescence micrographs showing MitoSensor localization and redistribution over time in L57V-transfected cells. They contain no schematic or concrete depiction of the engineered construct, variant architecture, or nucleic-acid design.",
10.1021/sb300061x,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,False,False,True,"Figure 1 is solely a gas chromatogram data plot comparing alkane products under different enzyme and propanoate conditions. Its inset is only a condition legend and does not depict a concrete engineered construct, plasmid, sequence design, or physical assembly.",
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,True,True,True,"Figure 1 centrally depicts the physical plasmid mutagenesis and assembly design, including primer locations, engineered base substitutions, PCR fragments, homologous overlaps, and the resulting circular construct. Under the 2012–2013 publication-era exception, this conventional mutagenesis and assembly cartography is compatible.",
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,2,True,True,True,"Figure 2 centrally depicts concrete plasmid mutagenesis and assembly designs, including specific engineered constructs, PCR fragments, mutation sites, insertions, deletions, and resulting plasmids. Under the 2012–2013 publication-era exception, this conventional physical cartography is compatible even though much of it documents cloning and assembly operations.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,True,True,True,"Panels a–d include concrete linear genetic-construct designs specifying RBS and fluorescent-protein/CDS arrangements, including a bicistronic RBS1–gene 1–RBS2–gene 2 construct. Under the 2012–2013 policy, these schematics identify the engineered experimental designs measured in the accompanying plots and are countable.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,2,True,True,True,"Figure 2 includes a concrete schematic of the engineered bicistronic construct measured in the plot, showing RBS 1–gene 1–variable spacer–RBS 2–gene 2. Under the 2012–2013 exception, this small experimental-design depiction is countable.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,3,True,True,True,"Figure 3 includes a concrete schematic of the bicistronic engineered construct measured in the accompanying plot, showing RBS 1, gene 1, RBS 2, and gene 2 in their physical order. Under the 2012–2013 policy, this specific experimental design remains countable even though it is a small schematic beside a data chart.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,4,True,True,True,"The schematic above the plot concretely depicts the engineered construct measured in the experiment, with RBS 1, gene 1, RBS 2, and gene 2 arranged on a backbone and the varied spacer identified. Under the 2012–2013 policy, this small experimental-design schematic is countable even though the remainder of the figure is a data plot.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,5,True,True,True,"The schematic above the Figure 5 bar chart depicts the concrete bicistronic construct tested, with RBS 1–gene 1–RBS 2–gene 2 arranged on a backbone and the varied RBS 2/start-codon region identified. Under the 2012–2013 policy, this specific experimental construct depiction is countable even though the rest of the figure presents measurements and sequence variants.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,6,True,True,True,"Figure 6 includes a concrete bicistronic construct schematic showing RBS 1, gene 1, RBS 2, and gene 2, with the experimentally varied start-codon position identified. Under the 2012–2013 policy, this specific engineered design remains countable even though it appears beside a data plot.",
