doi,year,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb300116y,2013,1,False,False,True,"Figure 1 is a gap-repair cloning workflow schematic: PCR-amplified terminator fragments flanked by green/blue homology regions, a CEN-type vector cut at a restriction site, and downstream flow cytometry. The only construct depiction (TDH3pro–GFP with the vector's homology segments) serves to document how the cloning product is assembled rather than to specify a design's composition, so it falls under the cloning/vector-cartography and protocol-schematic exclusions.",
10.1021/sb300116y,2013,2,False,False,True,"Figure 2 consists solely of data plots — panel A is a rank-ordered scatter of relative fluorescence intensity across 5302 strains and panel B is a histogram of those same values. No panel depicts sequence features, a construct backbone, or any nucleic-acid design.",
10.1021/sb300116y,2013,3,False,False,True,"Figure 3 is a single log-log scatter plot correlating relative GFP fluorescence intensity values of genome-integrated versus plasmid strains, with a linear regression line. It contains only quantitative data and no depiction of construct composition or sequence features, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/sb300116y,2013,4,False,False,True,"Figure 4 consists solely of two bar charts ranking the relative fluorescence intensity values of the top 30 and bottom 30 yeast terminator regions, with error bars for three replicates. It contains no diagram of a construct's composition or arrangement, so there is nothing that could be drawn with SBOL Visual glyphs.",
10.1021/sb300116y,2013,5,False,False,True,"Figure 5 consists solely of quantitative data plots: two scatter plots with linear regressions comparing relative fluorescence intensities (A, B) and a time-course line graph of relative FI after induction (C). No panel depicts the composition or arrangement of the constructs' sequence features, so there is nothing that could be drawn with SBOL Visual glyphs.",
10.1021/sb300116y,2013,6,False,False,True,"Figure 6 is a single bar chart of relative GFP mRNA levels across 30 terminator strains, with error bars and gene-name categories on the x-axis. It contains only quantitative data, with no diagram of construct composition or sequence-feature layout.",
10.1021/sb300116y,2013,7,False,False,True,"Figure 7 consists solely of four scatter plots (A–D) correlating terminator output with mRNA abundance, protein abundance, mRNA half-life, and 3'-UTR length. It contains no depiction of a construct's sequence features or arrangement, so there is nothing that could be drawn with SBOL Visual glyphs.",
10.1021/sb400050k,2013,1,True,False,False,"Panels (a)-(b) depict XylR protein domain organization and its activation mechanism, while (c)-(d) are annotated motif maps of the native Pu and PR promoter regions, marking where UAS binding sites, IHF sites, -12/-24 and -35/-10 boxes, and +1 start sites occur, paired with abstract logic-gate symbols. Nothing here specifies the composition or arrangement of an engineered construct as a design to build.",
10.1021/sb400050k,2013,2,True,True,True,"Panel (a) lays out the composition and arrangement of the engineered synthetic transposon mTn5[GFP·NIa1] as a design to build — Tn5 mosaic-end inverted repeats bracketing a gfp CDS, a kanamycin-resistance cassette, and a 39-bp NIa protease-recognition segment — content directly expressible with SBOL Visual glyphs. Although restriction sites are marked and panels (b)/(c) show digestion/religation products, the SbfI and NotI sites are functional elements of the construct's designed excision behavior rather than mere cloning cartography, and communicating the element's design is the figure's stated primary purpose.",
10.1021/sb400050k,2013,3,True,False,False,"Figure 3 is a protocol/workflow schematic for building KILB libraries: the transposon sketch is a reagent carried in from the mutagenesis procedure and its annotations are cloning apparatus (mosaic ends, SbfI/NotI sites, Km marker), while the plasmid drawings are conventional vector cartography (oriV, bla, BamHI/XbaI insertion points) overlaid with an annotated xylR domain map giving residue coordinates and random insertion positions. Panel (c) is plate photographs, and no panel specifies the composition and arrangement of an engineered construct as a design to build.",
10.1021/sb400050k,2013,4,True,False,False,"Panel (a) is an annotated protein domain map marking NIa insertion positions along the XylR amino-acid sequence, which is protein-only sequence annotation rather than a nucleic-acid construct design; panels (b) and (c) are a Western blot and a bar chart. No panel specifies the composition or arrangement of an engineered DNA construct.",
10.1021/sb400050k,2013,5,True,True,True,"Panel (a) draws the engineered Pu-lacZ reporter as a genetic construct laid out on a line — promoter, ribosome-binding/operator element, lacZ coding arrow, and flanking terminators — with the cleavable XylR regulator acting on it, which is exactly the composition-plus-interaction content SBOL Visual glyphs express. The remaining content (plate photographs and logic-gate symbols) does not disqualify the figure, since the construct depiction specifies a design rather than annotating a sequence or documenting cloning apparatus.",
10.1021/sb400050k,2013,6,True,False,False,"Panel (a) is a protein domain-architecture map of XylR variants annotated with NIa cleavage sites and terminal amino acid sequences, panel (b) is a plate photograph, panel (c) is a bar chart, and panel (d) is an abstract digital logic-gate formalization; none of these lays out sequence features of an engineered nucleic-acid construct on a backbone.",
10.1021/sb4001068,2014,1,False,False,True,"Figure 1 is a reproduction of Crick's handwritten Central Dogma sketch showing arrows for information transfer among DNA, RNA, and protein — a purely conceptual illustration of a biological principle. It contains no engineered nucleic-acid construct, sequence features, or circuit composition that could be expressed with SBOL Visual glyphs.",
10.1021/sb4001068,2014,2,False,False,True,"Figure 2 is a purely conceptual diagram of arrows connecting the words 'Science', 'Technology', and 'Society' as a metaphorical analogue of the Central Dogma. It contains no nucleic-acid sequence features, constructs, or molecular species, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/sb4001068,2014,3,False,False,True,"Figure 3 is a purely conceptual illustration — a tangle of arrows connecting the words Nature, Science, Technology, and Society as a metaphorical riff on the Central Dogma. It contains no nucleic-acid sequence features, construct composition, or molecular interactions, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/acssynbio.5b00043,2015,1,True,True,True,"The 'Construct' portion of the figure includes a panel that lays out standardized genetic parts — labeled promoters, RBSs, and terminators — and assembles them into a transcription unit (promoter–RBS–gene–terminator) on a backbone line, which specifies an engineered construct's composition as a design. Although the figure's overall organizing structure is a design–build–test workflow with mechanism cartoons (CRISPR/Cas, MAGE, TRMR, antisense RNA), that parts-and-transcription-unit depiction is directly expressible in SBOL Visual glyphs.",
10.1021/sb400133g,2015,1,False,False,True,"Figure 1 is a metabolite-level pathway map (glycolysis, TCA cycle, aspartate-family amino acid branches) annotated with enzyme gene names and a proposed allosteric feedback loop on homoserine dehydrogenase. It contains no depiction of an engineered nucleic-acid construct — no promoters, RBSs, CDSs, terminators, or backbone layout — so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/sb400133g,2015,2,False,False,True,"Figure 2 consists solely of protein structural models of C. glutamicum homoserine dehydrogenase — the tetrameric ribbon structure, the ACT domain dimer interface, and a stick view of the threonine binding site with hydrogen bonds. It contains no nucleic-acid construct design content, so there is nothing that SBOL Visual glyphs could represent.",
10.1021/sb400133g,2015,3,False,False,True,"Figure 3 consists solely of three enzyme-activity data plots showing relative activity of wild-type and mutant homoserine dehydrogenase versus threonine, isoleucine, and combined inhibitor concentration. It contains no depiction of nucleic-acid sequence features, construct composition, or genetic circuit design that could be rendered with SBOL Visual glyphs.",
10.1021/sb400133g,2015,4,False,False,True,"Figure 4 shows a protein ribbon structure superposition of ACT domains plus an amino-acid sequence alignment annotating threonine/lysine binding sites — protein-only structural and sequence-annotation content with no nucleic-acid construct design. Nothing in it specifies the composition or arrangement of an engineered DNA construct, so there is no SBOL Visual content to represent.",
10.1021/sb400133g,2015,5,False,False,True,"Figure 5 is a single line/scatter plot of relative enzyme activity versus lysine concentration for wildtype HSD and the HSD-S1 mutant, with error bars. It contains only quantitative data, no depiction of a nucleic-acid construct, sequence features, or genetic circuit design.",
10.1021/sb500113b,2015,1,False,False,True,"Figure 1 is a purely conceptual text schematic mapping foundational properties of living systems (evolvable, self-organizing, responsive, interfaces with inorganics) onto useful properties for material function and synthesis via a single arrow. It contains no depiction of sequence features, constructs, plasmids, or molecular interactions that could be rendered with SBOL Visual glyphs.",
10.1021/sb500113b,2015,2,False,False,True,"Figure 2 is a conceptual illustration of a living-materials platform: cells producing amyloid curli monomers (the chevrons are labeled amyloid monomers A/B in panel c, not genetic parts), multiscale patterning cartoons, inorganic-interfacing nanofiber schematics, and an inducer-responsive switch with I-V plots. No panel lays out promoters, RBSs, CDSs, or terminators on a nucleic-acid backbone or otherwise specifies the composition of an engineered construct.",
10.1021/sb500324p,2015,1,False,False,True,"The figure is a workflow schematic of the MEGA cloning/genome-editing procedure — PCR fragments with homology overlaps, yeast assembly into pXX11, transformation, and I-SceI-driven recombination into the chromosome. Its construct depictions are cloning cartography (homology arms III/IV, I-SceI sites S, apramycin marker R, assembled vector) documenting how the product was assembled rather than specifying a design to build.",
10.1021/sb500324p,2015,2,False,False,True,"Panel A is a circular genome map of E. coli MDS42 annotated with AvrII restriction-site coordinates, oriC, and the positions of deletion regions and essential genes — sequence annotation and cloning cartography documenting where features sit in the native chromosome, not a design specification for an engineered construct. Panel B is a pulsed-field gel electrophoresis image, which is likewise outside SBOL Visual's scope.",
10.1021/sb500324p,2015,3,False,False,True,"Figure 3 consists solely of three growth-curve line plots (panels a, b, c) showing OD600 versus time for the genome reduction mutants and parent strain controls. It contains only quantitative data plots with no depiction of construct composition, sequence features, or backbone layout.",
