doi,year,era,benchmark_partition,prompt_profile,judging_mode,self_consistency_samples,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,True,True,True,"Panel b lays out the concrete engineered feedback construct as a linear arrangement of sequence features — RNA motif, L7Ae and ECFP coding regions, an IRES, and DsRed_E — which is a design specification renderable with SBOL Visual glyphs. The surrounding mechanism cartoon, secondary-structure motifs, and FACS/bar plots do not negate that countable construct depiction.",
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,2,True,False,False,"Figure 2 consists solely of two FACS scatter plots with model-fit lines and insets; it contains no depiction of a construct's composition or arrangement. The construct identities appear only as legend text labels, not as any schematic that could be rendered with SBOL Visual glyphs.",
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,3,True,True,True,"Panel (a) draws the actual transfected constructs as linear cassettes — a K-turn/K-loop motif upstream of an L7Ae-ECFP coding region followed by an IRES and DsRed_E, plus a second cassette with a K-turn or defective K-turn motif ahead of EGFP — which is exactly the kind of sequence-feature arrangement SBOL Visual glyphs express. This is a concrete depiction of the specific engineered constructs measured in the FACS data of panel (b), not a sequence annotation, cloning map, or abstract circuit topology, so it counts under the 2012-era criteria.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,False,True,False,"Panel A lays out the concrete domain architecture of the engineered LOV2–caspase-7 fusion (LOV2 linked to p20/p11) that is the specific construct variant L57V assayed in panels B–H, which the 2012–2013 policy counts as a concrete experimental design depiction even though the panel frames it as three photoactivation mechanisms. The remaining panels (bar chart, SDS-PAGE gel, time course, micrographs) are data and contribute nothing, but the fusion schematic alone is countable on its own terms.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,2,False,False,True,"Figure 2 consists solely of fluorescence micrographs (panels A–F) of COS7 cells before and after localized blue-light illumination, with an added dotted circle marking the illuminated zone. No panel depicts a construct, sequence features, or a genetic design, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,3,False,False,True,"Figure 3 consists entirely of bar charts, a time-course plot, and gel/Native-PAGE and SDS-PAGE images; construct names such as L57V, bL57V, oL57V, and dL57V appear only as axis labels, with no schematic depicting the composition or arrangement of any engineered construct. With no diagrammatic construct depiction in any panel, there is nothing that could be drawn with SBOL Visual glyphs.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,4,False,False,True,"Figure 4 consists solely of fluorescence micrographs (panels A–C, E) and a time-course intensity-ratio plot (panel D), with no schematic depicting the composition or arrangement of any engineered construct. The transfected constructs (L57-mRFP, YFP/CFP biosensor, P2X2-CFP) are named only in the caption and never drawn.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,5,False,False,True,"Figure 5 consists solely of fluorescence micrographs (panels A-G) of transfected and nontransfected COS7 cells at successive time points after light stimulation. No panel depicts a construct's composition, sequence features, or any nucleic-acid design element.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,False,False,True,"Figure 1 shows only abstract circuit topology — generic boxes labeled 'Switch' and circles labeled 'Signal' connected by activation/inhibition arrows across panels A–F — with no depiction of any concrete nucleic-acid construct, sequence features, or physical design of the experimental material. Under the 2012-2013 boundary, purely abstract gene-circuit topology and logic diagrams are not counted.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,2,False,False,True,"Figure 2 is a strand- and domain-level reaction mechanism schematic: color-coded complementary sequence domains on straight (DNA) and squiggly (RNA) lines connected by hybridization, transcription, and degradation arrows, paired with schematic production/degradation/steady-state curves. The 2012-era policy explicitly excludes strand/domain interaction mechanisms whose nodes abstractly represent binding domains rather than depicting the concrete physical layout of an engineered construct, and no panel here lays out sequence features as a design to build.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,3,False,False,True,"Figure 3 presents nucleotide-level sequences of the switch strands (T, A, dI, rA) with color-coded complementary domains and their base-paired duplex/toehold complexes, which is sequence annotation and strand-displacement hybridization mechanism rather than a design layout of an engineered construct. Under the 2012-2013 policy, strand/domain interaction mechanisms whose elements are sequences and base-pairing rather than concrete physical construct cartography were not counted.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,4,False,False,True,"Figure 4 consists of strand-level hybridization and toehold-mediated strand displacement mechanism schematics (colored domain arrows for A, T, dI, rA complexes) plus a non-denaturing gel image. These are base-pairing/domain interaction mechanisms and data, not depictions of an engineered construct's composition or arrangement as a design to build.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,5,False,True,False,"The left column depicts the concrete engineered nucleic-acid constructs used in the experiment — the T·A (ON) versus T (OFF) genelet template whose reconstituted promoter drives RNAP transcription of rA, plus the rA·dI duplex — drawn as specific physical designs rather than abstract topology, and these are the exact materials assayed in the gels and plots. Under the 2012-2013 policy such concrete construct depictions count even when they sit inside a mechanism panel beside data.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,6,False,False,True,"Figure 6 consists solely of schematic rate-versus-concentration plots with fixed points (A), a denaturing gel image (B), and a scatter plot of final versus initial rA concentration (C). No panel depicts the composition or arrangement of an engineered nucleic-acid construct, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,7,False,True,False,"Panel A is a schematic of the self-activating genelet switch that depicts the concrete engineered nucleic-acid components used in the experiment — the DNA template T with its promoter region, the activator strand A (Cy5-labeled), the inhibitor dI (quencher-labeled), and the transcribed rA — together with the RNAP-driven transcription and hybridization interactions among them. That is the composition and functional wiring of an engineered nucleic-acid circuit, expressible with SBOL Visual glyphs, rather than a sequence annotation, cloning map, or purely abstract topology.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,8,False,False,True,"Figure 8 consists entirely of quantitative data plots (panels A, B, C) showing measured rA concentrations and ensemble model predictions versus experimental variables, with no schematic of any engineered construct. There is no depiction of sequence features, plasmid/vector cartography, or construct composition anywhere in the figure.",
10.1021/sb300018h,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,9,False,False,True,"Figure 9 consists entirely of statistical data plots — parameter histograms, an eigenvalue mode spectrum, and a correlation/eigenvector heat map from Monte Carlo sampling of a kinetic model. No panel depicts a nucleic-acid construct, plasmid, or sequence-feature arrangement, so there is nothing that SBOL Visual glyphs could render.",
10.1021/sb300049p,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,False,False,True,"Panel (a) is a generic TX-TL mechanism/workflow schematic — an unannotated DNA circle feeding mRNA, protein, and phage self-assembly — with no sequence features or construct composition specifying an engineered design, while panels (b) and (c) are a viability plot and a TEM micrograph. Nothing here depicts the concrete physical layout of an engineered nucleic-acid construct.",
10.1021/sb300049p,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,2,False,False,True,"Figure 2 consists entirely of quantitative data plots (panels a–d, g) and agarose gel images (panels e, f) characterizing T7 phage synthesis and DNA replication. No panel depicts the composition or arrangement of an engineered construct, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/sb300049p,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,3,False,False,True,"Figure 3 consists solely of two bar charts (panels a and b) reporting phage titers (PFU/mL) across strain and supplement conditions. It contains no depiction of a construct, plasmid, or sequence-feature layout of any kind, so there is nothing that could be rendered with SBOL Visual glyphs.",
10.1021/sb300049p,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,4,False,False,True,"Figure 4 is a single transmission electron micrograph of ΦX174 phage particles produced in a cell-free reaction, with no schematic content. It contains no depiction of a nucleic-acid construct's composition, arrangement, or design.",
10.1021/sb300053s,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,False,True,False,"Panels d–g depict the concrete engineered nucleic-acid constructs used in the experiments — allosteric ribozymes with defined oligonucleotide-binding sites (OBS1/OBS2) and stems, and a target RNA laid out as an ordered arrangement of effector domains (E1, E2), a variable poly-A spacer, and a substrate domain — which specifies the composition of the designed molecules rather than merely annotating a native sequence. Under the 2012–2013 boundary, such concrete depictions of the specific engineered material measured in the experiment count even when embedded in mechanism panels alongside gels and kinetic plots.",
10.1021/sb300053s,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,2,False,False,True,"Panels a–c are RNA secondary-structure and base-pairing schematics showing how the AND-ribozyme hybridizes with target RNAs and folds stems I–III, and panel d is gel images plus a kinetics plot. These are strand/domain interaction mechanism illustrations rather than depictions of a construct's physical composition or arrangement, so nothing here specifies an engineered nucleic-acid design in the sense the panel counted.",
10.1021/sb300053s,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,3,False,False,True,"Every panel is either an abstract logic-gate/truth-table diagram (a), an RNA secondary-structure base-pairing mechanism drawing showing nucleotide-level folding and strand hybridization of the ribozyme with its targets and effectors (b–i), or gel images and a kinetics plot (j–k). None of these depict the composition and arrangement of an engineered construct along a backbone; the strand/domain interaction mechanisms are explicitly not countable under the 2012-era boundary.",
10.1021/sb300053s,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,4,False,False,True,"Panel (a) is an abstract electronic logic-gate topology and (b) is gel data, while panels (c)-(f) are nucleotide-level RNA secondary-structure and base-pairing diagrams showing how ribozyme stems, OBS hairpins, and effector oligomers hybridize — strand/domain interaction mechanisms rather than a design specification of sequence features arranged on a construct. Nothing in the figure lays out an engineered nucleic-acid construct's composition as a buildable design or as concrete physical cartography.",
10.1021/sb300053s,2012,2012-2013,calibration,historical_2025_era_v3,per_figure,1,5,False,False,True,"Panel (a) is an abstract logic-gate topology diagram and panels (b) and (c) are RNA secondary-structure/base-pairing schematics of ribozyme domains, with panel (d) a PAGE gel; none depicts a nucleic-acid construct's composition and arrangement along a backbone as a design to build. Under the 2012-2013 policy, generic logic diagrams and strand/domain interaction mechanisms are explicitly not counted.",
10.1021/sb300061x,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,False,False,True,"Figure 1 is solely a GC chromatogram overlay with an inset legend table listing which enzymes/supplements were present in each trace; there is no depiction of a nucleic-acid construct, plasmid map, or arrangement of sequence features. The inset is a condition key, not a construct design schematic.",
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,True,True,True,"Panel (a) is a conventional plasmid mutagenesis/assembly diagram showing the circular construct with primer-binding positions, mutation sites, and the assembled mutagenized plasmid, which the 2012-2013 boundary counts as physical cartography that is a central subject of the figure. The strand-level base-pairing mechanism in panel (b) would not count on its own, but panel (a) is sufficient.",
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,2,True,True,True,"All three panels are conventional circular plasmid maps (pFastBac1/mGOAT, pLD401, pRS and pSB1C3-RFP acceptor vector) annotated with coding-sequence arrows, restriction sites, point mutations, deletions, and an inserted BsaI-flanked RFP cassette, and this plasmid cartography is the figure's central subject. Under the 2012-2013 era policy, conventional plasmid, mutagenesis, and assembly diagrams are counted even when their labels are restriction sites, primers, and insertion points.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,1,True,True,True,"Each panel carries a cartoon above the plot laying out the measured construct's composition on a backbone line — RBS plus fluorescent-protein CDS in panels a–c, and a bicistronic RBS1–gene1–RBS2–gene2 arrangement in panel d — which specifies the arrangement of sequence features in the engineered constructs rather than annotating a native sequence or documenting cloning apparatus. These concrete depictions of the specific constructs measured in the experiment are countable under the 2012–2013 policy even though the rest of the figure is data plots.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,2,True,True,True,"The panel above the bar chart is a linear schematic of the bicistronic construct measured in the experiment — RBS 1, gene 1, spacer, RBS 2, gene 2 laid out on a backbone — which specifies the composition and arrangement of the engineered design and maps directly onto SBOL Visual glyphs. Under the 2012–2013 policy this concrete depiction of the experimental construct counts even though it is a small schematic accompanying a data plot.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,3,True,True,True,"Figure 3 includes a schematic above the bar chart laying out the bicistronic construct on a backbone line — RBS 1, gene 1, RBS 2, gene 2 with an arrow marking the varied upstream region — which specifies the composition and arrangement of the engineered construct measured in the experiment. Under the 2012-2013 policy this concrete depiction of the experimental design counts even though it sits beside a data plot.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3,per_figure,1,4,True,True,True,"The panel above the bar chart is a linear construct diagram showing the bicistronic design (RBS 1 – gene 1 – RBS 2 – gene 2 on a backbone), with an arrow marking the varied spacer between RBS 2 and the gene 2 start codon. This concretely depicts the composition and arrangement of the engineered construct measured in the experiment, which the 2012-2013 panel counted even as a small schematic beside a plot.",
