doi,year,era,benchmark_partition,prompt_profile,judging_mode,self_consistency_samples,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb200002m,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,1,False,False,True,"Panel (a) is a protein-level mechanism cartoon of a displayed peptide bound to a pro-survival protein on the E. coli surface, and panel (b) is an amino-acid sequence with mutagenized positions annotated alongside ribbon/stick structural models. Neither panel lays out nucleic-acid sequence features or the composition of an engineered construct as a design.",
10.1021/sb200002m,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,2,False,False,True,"Figure 2 consists solely of four bar charts (panels a-d) reporting median fluorescence binding data for Bak BH3 peptide variants against Mcl-1, Bcl-2, Bcl-w, and A1. It contains only quantitative data plots with no depiction of nucleic-acid construct composition or arrangement.",
10.1021/sb200002m,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,3,False,False,True,"Figure 3 plots specificity ratios derived from apparent K_d values (K_d,Bcl-xL/K_d,Mcl-1) for BH3 peptide variants, which is quantitative binding data presented as a chart. It contains no depiction of an engineered nucleic-acid construct's composition or arrangement — only protein-peptide affinity measurements.",
10.1021/sb200002m,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,4,False,False,True,"Figure 4 consists solely of four scatter plots of QSAR descriptor values (z1 hydrophobicity, z2 size, z3 polarity, and helical propensity energy) across Bak BH3 peptide variants. It contains only data plots of peptide properties with no depiction of nucleic-acid sequence features, construct composition, or genetic circuit design.",
10.1021/sb200002m,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,5,False,False,True,"Figure 5 consists solely of two bar charts (panels a and b) reporting HeLa cell viability from PI and MTT assays across peptide treatments. It contains no depiction of nucleic-acid sequence features, construct composition, or genetic circuit design that SBOL Visual glyphs could represent.",
10.1021/sb200003v,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,1,False,True,False,"Panels A and D are schematics of the encapsulated plasmid set — distinct circular plasmids each carrying a labeled coding sequence (mreB, yfp-mreB, mreC) with transcription/translation arrows to the resulting protein products — which specifies the composition of the engineered expression system and its functional interactions, content directly expressible with SBOL Visual CDS, plasmid, and production glyphs. The remaining panels are fluorescence micrographs, but the construct depiction stands on its own as a design specification rather than a sequence annotation or cloning map.",
10.1021/sb200003v,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,2,False,False,True,"Panel A is a protein-level cartoon of the YFP-MreB-18L fusion binding a lipid membrane, panel B is an experimental workflow schematic for liposome formation, and panel C is micrographs with fluorescence line scans. No panel depicts nucleic-acid sequence features, backbone arrangement, or genetic circuit composition that SBOL Visual glyphs could express.",
10.1021/sb200003v,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,3,False,False,True,"Figure 3 consists of fluorescence micrographs of YFP-MreB-18L bundles, a cartoon of a lipid vesicle with an α-hemolysin pore admitting Mg2+ and ATP, and schematic drawings of vesicle/filament morphologies. No panel depicts nucleic-acid sequence features or the composition of an engineered genetic construct, so there is nothing that SBOL Visual glyphs could represent.",
10.1021/sb200003v,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,4,False,False,True,"Figure 4 consists only of electron micrographs of MreB bundles (panels A and B) and a histogram of contour length distribution (panel C). It contains no diagram of nucleic-acid construct design, sequence features, or genetic circuit composition.",
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,1,True,True,True,"Panel b lays out the engineered feedback-repression construct as a design — an RNA motif in the 5' UTR followed by the L7Ae-ECFP fusion CDS, an IRES, and the DsRed_E reporter arranged along a backbone, with the encoded protein's repressive interaction back onto its own mRNA. That is construct composition plus a functional interaction, expressible in SBOL Visual glyphs, and it counts on its own terms even though panel a is a mechanism sketch, panel c a base-pairing diagram, and panels d–e data plots.",
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,2,True,False,False,"Figure 2 consists solely of two FACS scatter plots (panels a and b) of ECFP versus DsRed_E fluorescence overlaid with mathematical model fitting lines and insets of averaged data. It contains no depiction of a construct's sequence features, composition, or interactions, so there is nothing that could be drawn with SBOL Visual glyphs.",
10.1021/sb200005w,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,3,True,True,True,"Panel (a) lays out two engineered constructs as a design — a backbone bearing a K-turn/K-loop motif, the L7Ae-ECFP CDS, an IRES, and DsRed_E, plus a second construct with a K-turn or defective K-turn motif upstream of EGFP — and depicts the cis and trans repression links between the L7Ae-ECFP protein and those transcripts. This is genetic-circuit composition with functional interactions, directly renderable with SBOL Visual glyphs; the FACS dot plot in panel (b) does not affect that judgment.",
10.1021/sb2000066,2012,2012-2013,calibration,historical_2025_prose_v1,per_figure,1,1,False,False,True,"Figure 1 is a metabolic pathway schematic of n-alkane catabolism in wild-type and engineered A. baylyi, showing chemical intermediates, a knocked-out enzymatic step, and the LuxAB protein acting on fatty aldehydes to emit light. No nucleic-acid construct composition or arrangement of sequence features is depicted, so there is nothing that could be drawn with SBOL Visual glyphs.",
