record_id,doi,doi_url,year,issue_month,issue_month_number,title_source,title_crossref,publication_date,authors_json,volume,issue,pages,figures_total,figures_sbol_visual_compatible,figures_sbol_visual_compliant,figures_best_practices,has_compatible_figures,has_compliant_figures,all_compatible_figures_compliant,has_best_practice_figures,all_compatible_figures_best_practice,historical_count_invariant_valid,requires_adjudication,label_granularity,figure_identities_available,annotation_source,annotation_path,annotation_sheet,annotation_row,annotation_comments_json,rubric_url,crossref_match_method,crossref_title_score,crossref_match_margin,publisher_url,crossref_license_urls_json,crossref_full_text_links_json,openalex_id,is_oa,oa_status,europepmc_id,europepmc_pmcid,europepmc_in_pmc,europepmc_in_epmc,europepmc_author_manuscript,europepmc_is_open_access,europepmc_external_pdf_candidates,download_eligible,selected_pdf_url,selected_pdf_license,selected_pdf_version,selected_pdf_source,pdf_candidate_count
doi:10.1021/sb2000287,10.1021/sb2000287,https://doi.org/10.1021/sb2000287,2012,January,1,The Organism Is the Product,The Organism Is the Product,2012-01-20,"[""Jason Kelly""]",1,1,4-5,0,0,0,0,False,False,False,False,False,True,False,paper_aggregate_counts,False,doi:10.1021/acssynbio.5c00417.s002,data/raw/annotations/sb5c00417_si_002.xlsx,January,3,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt,normalized_exact,1.0,0.512195,https://doi.org/10.1021/sb2000287,[],"[{""url"": ""https://pubs.acs.org/doi/pdf/10.1021/sb2000287"", ""content_type"": ""unspecified"", ""content_version"": ""vor"", ""intended_application"": ""similarity-checking""}]",https://openalex.org/W2335701848,False,closed,MED:23651004,,False,False,False,False,0,False,,,,,1
doi:10.1021/sb200001q,10.1021/sb200001q,https://doi.org/10.1021/sb200001q,2012,January,1,Engineering Artificial Small RNAs for Conditional Gene Silencing in Escherichia coli,Engineering Artificial Small RNAs for Conditional Gene Silencing in Escherichia coli,2012-01-20,"[""Vandana Sharma"", ""Asami Yamamura"", ""Yohei Yokobayashi""]",1,1,6-13,4,1,1,0,True,True,True,False,False,True,False,paper_aggregate_counts,False,doi:10.1021/acssynbio.5c00417.s002,data/raw/annotations/sb5c00417_si_002.xlsx,January,4,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt,normalized_exact,1.0,0.489051,https://doi.org/10.1021/sb200001q,[],"[{""url"": ""https://pubs.acs.org/doi/pdf/10.1021/sb200001q"", ""content_type"": ""unspecified"", ""content_version"": ""vor"", ""intended_application"": ""similarity-checking""}]",,,,,,,,,,0,False,,,,,1
doi:10.1021/sb2000116,10.1021/sb2000116,https://doi.org/10.1021/sb2000116,2012,January,1,j5 DNA Assembly Design Automation Software,j5 DNA Assembly Design Automation Software,2012-01-20,"[""Nathan J. Hillson"", ""Rafael D. Rosengarten"", ""Jay D. Keasling""]",1,1,14-21,5,3,3,1,True,True,True,True,False,True,False,paper_aggregate_counts,False,doi:10.1021/acssynbio.5c00417.s002,data/raw/annotations/sb5c00417_si_002.xlsx,January,5,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt,normalized_exact,1.0,0.468354,https://doi.org/10.1021/sb2000116,[],"[{""url"": ""https://pubs.acs.org/doi/pdf/10.1021/sb2000116"", ""content_type"": ""unspecified"", ""content_version"": ""vor"", ""intended_application"": ""similarity-checking""}]",,,,,,,,,,0,False,,,,,1
doi:10.1021/sb200013j,10.1021/sb200013j,https://doi.org/10.1021/sb200013j,2012,January,1,Cloning the Acholeplasma laidlawii PG-8A Genome in Saccharomyces cerevisiae as a Yeast Centromeric Plasmid,Cloning the Acholeplasma laidlawii PG-8A Genome in Saccharomyces cerevisiae as a Yeast Centromeric Plasmid,2012-01-20,"[""Bogumil J. Karas"", ""Christian Tagwerker"", ""Isaac T. Yonemoto"", ""Clyde A. Hutchison"", ""Hamilton O. Smith""]",1,1,22-28,5,2,0,0,True,False,False,False,False,True,False,paper_aggregate_counts,False,doi:10.1021/acssynbio.5c00417.s002,data/raw/annotations/sb5c00417_si_002.xlsx,January,6,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt,normalized_exact,1.0,0.516854,https://doi.org/10.1021/sb200013j,[],"[{""url"": ""https://pubs.acs.org/doi/pdf/10.1021/sb200013j"", ""content_type"": ""unspecified"", ""content_version"": ""vor"", ""intended_application"": ""similarity-checking""}]",,,,MED:23651007,,False,False,False,False,0,False,,,,,1
doi:10.1021/sb200016s,10.1021/sb200016s,https://doi.org/10.1021/sb200016s,2012,January,1,An E. coli Cell-Free Expression Toolbox: Application to Synthetic Gene Circuits and Artificial Cells,An E. coli Cell-Free Expression Toolbox: Application to Synthetic Gene Circuits and Artificial Cells,2012-01-20,"[""Jonghyeon Shin"", ""Vincent Noireaux""]",1,1,29-41,8,7,0,0,True,False,False,False,False,True,False,paper_aggregate_counts,False,doi:10.1021/acssynbio.5c00417.s002,data/raw/annotations/sb5c00417_si_002.xlsx,January,7,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt,normalized_exact,1.0,0.533333,https://doi.org/10.1021/sb200016s,[],"[{""url"": ""https://pubs.acs.org/doi/pdf/10.1021/sb200016s"", ""content_type"": ""unspecified"", ""content_version"": ""vor"", ""intended_application"": ""similarity-checking""}]",,,,MED:23651008,,False,False,False,False,0,False,,,,,1
doi:10.1021/sb3000029,10.1021/sb3000029,https://doi.org/10.1021/sb3000029,2012,February,2,Multiplexed in Vivo His-Tagging of Enzyme Pathways for in Vitro Single-Pot Multienzyme Catalysis,Multiplexed in Vivo His-Tagging of Enzyme Pathways for in Vitro Single-Pot Multienzyme Catalysis,2012-02-17,"[""Harris H. Wang"", ""Po-Yi Huang"", ""George Xu"", ""Wilhelm Haas"", ""Adam Marblestone"", ""Jun Li"", ""Steven P. Gygi"", ""Anthony C. Forster"", ""Michael C. Jewett"", ""George M. Church""]",1,2,43-52,3,0,0,0,False,False,False,False,False,True,False,paper_aggregate_counts,False,doi:10.1021/acssynbio.5c00417.s002,data/raw/annotations/sb5c00417_si_002.xlsx,February,3,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt,normalized_exact,1.0,0.561644,https://doi.org/10.1021/sb3000029,[],"[{""url"": ""https://pubs.acs.org/doi/pdf/10.1021/sb3000029"", ""content_type"": ""unspecified"", ""content_version"": ""vor"", ""intended_application"": ""similarity-checking""}]",https://openalex.org/W2009687161,False,closed,MED:22737598,PMC3377159,True,True,False,False,0,False,,,,,1
doi:10.1021/sb200003v,10.1021/sb200003v,https://doi.org/10.1021/sb200003v,2012,February,2,Assembly of MreB Filaments on Liposome Membranes: A Synthetic Biology Approach,Assembly of MreB Filaments on Liposome Membranes: A Synthetic Biology Approach,2012-02-17,"[""Yusuke T. Maeda"", ""Tomoyoshi Nakadai"", ""Jonghyeon Shin"", ""Kunihiro Uryu"", ""Vincent Noireaux"", ""Albert Libchaber""]",1,2,53-59,4,0,0,0,False,False,False,False,False,True,False,paper_aggregate_counts,False,doi:10.1021/acssynbio.5c00417.s002,data/raw/annotations/sb5c00417_si_002.xlsx,February,4,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt,normalized_exact,1.0,0.490196,https://doi.org/10.1021/sb200003v,[],"[{""url"": ""https://pubs.acs.org/doi/pdf/10.1021/sb200003v"", ""content_type"": ""unspecified"", ""content_version"": ""vor"", ""intended_application"": ""similarity-checking""}]",,,,,,,,,,0,False,,,,,1
doi:10.1021/sb2000066,10.1021/sb2000066,https://doi.org/10.1021/sb2000066,2012,February,2,Monitoring Alkane Degradation by Single BioBrick Integration to an Optimal Cellular Framework,Monitoring Alkane Degradation by Single BioBrick Integration to an Optimal Cellular Framework,2012-02-17,"[""Suvi Santala"", ""Matti Karp"", ""Ville Santala""]",1,2,60-64,4,0,0,0,False,False,False,False,False,True,False,paper_aggregate_counts,False,doi:10.1021/acssynbio.5c00417.s002,data/raw/annotations/sb5c00417_si_002.xlsx,February,5,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt,normalized_exact,1.0,0.54321,https://doi.org/10.1021/sb2000066,[],"[{""url"": ""https://pubs.acs.org/doi/pdf/10.1021/sb2000066"", ""content_type"": ""unspecified"", ""content_version"": ""vor"", ""intended_application"": ""similarity-checking""}]",,,,,,,,,,0,False,,,,,1
doi:10.1021/sb200010w,10.1021/sb200010w,https://doi.org/10.1021/sb200010w,2012,February,2,Ultrasensitive Synthetic Protein Regulatory Networks Using Mixed Decoys,Ultrasensitive Synthetic Protein Regulatory Networks Using Mixed Decoys,2012-02-17,"[""Michelle S. Lu"", ""Jonathon F. Mauser"", ""Kenneth E. Prehoda""]",1,2,65-72,6,0,0,0,False,False,False,False,False,True,False,paper_aggregate_counts,False,doi:10.1021/acssynbio.5c00417.s002,data/raw/annotations/sb5c00417_si_002.xlsx,February,6,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt,normalized_exact,1.0,0.413534,https://doi.org/10.1021/sb200010w,[],"[{""url"": ""https://pubs.acs.org/doi/pdf/10.1021/sb200010w"", ""content_type"": ""unspecified"", ""content_version"": ""vor"", ""intended_application"": ""similarity-checking""}]",,,,MED:22639735,PMC3358930,True,True,False,False,0,False,,,,,1
doi:10.1021/sb200008j,10.1021/sb200008j,https://doi.org/10.1021/sb200008j,2012,March,3,Engineering a Photoactivated Caspase-7 for Rapid Induction of Apoptosis,Engineering a Photoactivated Caspase-7 for Rapid Induction of Apoptosis,2012-03-16,"[""Evan Mills"", ""Xi Chen"", ""Elizabeth Pham"", ""Stanley Wong"", ""Kevin Truong""]",1,3,75-82,5,0,0,0,False,False,False,False,False,True,False,paper_aggregate_counts,False,doi:10.1021/acssynbio.5c00417.s002,data/raw/annotations/sb5c00417_si_002.xlsx,March,3,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt,normalized_exact,1.0,0.490566,https://doi.org/10.1021/sb200008j,[],"[{""url"": ""https://pubs.acs.org/doi/pdf/10.1021/sb200008j"", ""content_type"": ""unspecified"", ""content_version"": ""vor"", ""intended_application"": ""similarity-checking""}]",,,,,,,,,,0,False,,,,,1
