rule_key,rubric_id,category,section,historical_rule_id,canonical_specification_section,normative_keyword,statement,notes_json,source_url
compliance:5.1.0,historical_2025_rubric_v1,compliance,5.1.0,5.1.0,5.1.0,MUST NOT,Features MUST NOT be on the same backbone if they are not located on the same sequence,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
compliance:5.1.1,historical_2025_rubric_v1,compliance,5.1.1,5.1.1,5.1.1,MUST,Single-stranded regions of nucleic acid constructs MUST use a single line to indicate the backbone,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
compliance:5.2.1,historical_2025_rubric_v1,compliance,5.2.1,5.2.1,5.2.1,MUST,The bounding box of a feature glyph MUST be in contact with the backbone,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
compliance:5.2.6,historical_2025_rubric_v1,compliance,5.2.6,5.2.6,5.2.6,MUST,The glyph used for a feature MUST contain the role of the feature.,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
compliance:5.3.1,historical_2025_rubric_v1,compliance,5.3.1,5.3.1,5.3.1,MUST,The glyph used for a molecular species MUST contain the type of the molecular species,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
compliance:5.3.2,historical_2025_rubric_v1,compliance,5.3.2,5.3.2,5.3.2,MUST NOT,The bounding box of a molecular species MUST NOT contact a nucleic acid construct unless it interacts with it.,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
compliance:5.4.1,historical_2025_rubric_v1,compliance,5.4.1,5.4.1,5.4.1,MUST,Interactions that intersect MUST use a crossover pattern that “diverts” to indicate the distinction between edges,"[""Compliant, but not best practice if another method clearly distinguishes, e.g., color""]",https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
compliance:5.4.2,historical_2025_rubric_v1,compliance,5.4.2,5.4.2,5.4.2,MUST,The glyph used for an interaction MUST contain the type of the interaction,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
compliance:5.4.3,historical_2025_rubric_v1,compliance,5.4.3,5.4.3,5.4.3,MUST,An edge with multiple heads MUST use the same glyph for each head,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
compliance:5.4.4,historical_2025_rubric_v1,compliance,5.4.4,5.4.4,5.4.4,MUST,The glyph used for an interaction node MUST contain the type of the interaction,[],https://docs.google.com/document/d/1vK8DdeN5QbFqKy0h2uLIuuB89hU_Zlj_o41NX1BVtAY/export?format=txt
