doi,year,era,benchmark_partition,prompt_profile,judging_mode,self_consistency_samples,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,False,True,False,"Panel A concretely depicts the engineered L57V LOV2–caspase-7 fusion, including its specific domain composition and experimentally tested activation configurations. Under the 2012–2013 exception, such a concrete engineered protein/domain design is countable even though the remaining panels are plots, a gel, and micrographs.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,2,False,False,True,"All panels are fluorescence micrographs showing the spatial response of L57V-expressing cells to illumination. They contain no diagram or concrete schematic of the engineered L57V construct, variant architecture, or nucleic-acid system design.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,3,False,False,True,All panels are quantitative plots or gel images measuring light-dependent cell death and L57V protein behavior. No panel depicts the physical design or composition of an engineered nucleic-acid construct or a concrete experimental construct schematic.,
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,4,False,False,True,"Figure 4 contains fluorescence micrographs, false-color biosensor images, and a time-series plot. Although the caption identifies engineered constructs used in the experiment, no panel depicts their concrete physical design or nucleic-acid composition.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,5,False,False,True,Figure 5 consists entirely of fluorescence micrographs showing MitoSensor localization over time in L57V-transfected and neighboring cells. It contains no diagram or concrete schematic depicting the physical design of the L57V-mRFP construct or any other engineered nucleic-acid material.,
10.1021/sb300061x,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,False,False,True,"Figure 1 contains only gas chromatogram data traces and an inset table identifying experimental conditions. It does not depict the physical design, composition, or arrangement of any engineered nucleic-acid construct or concrete engineered assembly.",
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,True,True,True,"Figure 1 centrally depicts the physical plasmid mutagenesis and assembly cartography, including primer-defined plasmid fragments and their reassembly. Under the 2012–2013 historical exception, this conventional mutagenesis/assembly diagram is compatible even though much of it illustrates workflow and strand-processing mechanisms.",
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,2,True,True,True,"The figure centrally depicts concrete plasmid constructs and their physical mutagenesis and assembly cartography, including specific fragment arrangements, substitutions, deletions, insertions, and restriction sites. Under the 2012–2013 historical exception, these conventional vector and assembly diagrams are compatible.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,True,True,True,"Panels a–d include concrete schematics of the measured engineered constructs, showing RBS–fluorescent-protein arrangements and a bicistronic RBS1–gene 1–RBS2–gene 2 design. Under the 2012–2013 historical policy, these small experimental-design depictions are countable even though the remaining content consists of data plots.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,2,True,True,True,"Figure 2 includes a concrete schematic of the engineered bicistronic construct, showing RBS 1, gene 1, the varied spacer, RBS 2, and gene 2. Under the 2012–2013 policy, this specific experimental design remains countable even though the rest of the figure presents measurement data.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,3,True,True,True,"Figure 3 includes a concrete bicistronic construct design with RBS 1, gene 1, RBS 2, and gene 2, together with the specific engineered upstream sequence variants measured in the experiment. Under the 2012–2013 exception, this small schematic and variant specification are countable even though the rest of the panel presents expression data.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,4,True,True,True,"The top schematic specifies the concrete bicistronic construct measured in the experiment, arranging RBS 1–gene 1–RBS 2–gene 2 and identifying the varied spacer position. Under the 2012–2013 exception, this small construct design remains countable despite the accompanying bar chart and sequence table.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,5,True,True,True,"Figure 5 includes a concrete bicistronic construct schematic laying out RBS1–gene 1–RBS2–gene 2, alongside the specific engineered sequence variants measured in the bar chart. Under the 2012–2013 exception, this small depiction of the experimental construct and its variants is countable.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,6,True,True,True,"Figure 6 includes a concrete bicistronic construct design showing RBS 1, gene 1, RBS 2, and gene 2, with the experimentally varied start codon identified at gene 2. Under the 2012–2013 policy, this specific engineered construct schematic remains countable even though the rest of the figure is a data plot.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,False,True,False,"The figure concretely specifies a 12-block recombination library for three parental cellulase proteins, showing the engineered block partition on both the protein structure and aligned sequences. Under the 2012–2013 exception, this specific protein-variant design is countable despite lacking nucleic-acid construct cartography.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,2,False,False,True,"Figure 2 contains only a thermostability bar chart and a scatter plot comparing TR50 and TA50 measurements. It does not depict any concrete engineered construct, protein/domain variant, assembly, or nucleic-acid design.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,3,False,False,True,"Figure 3 contains only scatter plots and bar charts reporting a linear thermostability model and block contributions. It does not depict the concrete physical design of any engineered construct, protein/domain variant, or assembly.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,4,False,False,True,"Figure 4 contains only scatter plots comparing predicted and measured thermostability values for chimeric cellulases. It does not depict any concrete engineered construct, protein/domain assembly, plasmid, or nucleic-acid design.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,5,False,True,False,"Both panels identify concrete engineered CBHI protein variants by their specific point mutations and report their measured thermostability effects. Under the 2012–2013 historical exception, these explicit experimental protein-variant designs are countable even though they appear only as labels in bar plots.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,6,False,False,True,"Figure 6 contains only a quantitative activity-versus-temperature plot comparing wild-type protein with the F362M mutant. It does not depict the physical design or composition of an engineered nucleic-acid construct, protein/domain variant, or assembly.",
10.1021/sb400019s,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,True,True,True,"Panel a concretely depicts the engineered loopXa-pIII phage protein design, including the inserted LPETGG sortase motif, linker, Factor Xa cleavage site, and disulfide loop, while panel b measures that construct. Under the 2012–2013 exception for specific engineered protein/domain variants used experimentally, the figure is compatible.",
10.1021/sb400019s,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,2,True,True,True,"Panel a concretely depicts the specific engineered triSrt phage assembly measured in the experiment, including the pIX, pVIII, and pIII variants and their orthogonal fluorophore labeling. Under the 2012–2013 historical exception, this concrete protein/assembly design is countable even though the remaining panel consists of gel and blot data.",
10.1021/sb400019s,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,3,True,True,True,"Panel a concretely depicts the engineered multiphage assembly measured in the experiments, including its ordered fluorescent phage segments and specific DNA-peptide junction designs. Under the 2012–2013 exception, this concrete physical experimental design is countable even though the remaining panels are gels, plots, and micrographs.",
10.1021/sb400021j,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,True,True,True,"Panel b centrally depicts the physical pOSIP plasmid design, including its cloning and FLP-excisable integration modules and their arranged features. Under the 2012–2013 historical exception, this conventional vector and cloning cartography is countable even though the other panels show workflow, data, and images.",
10.1021/sb400021j,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,2,True,True,True,"Panels b and c centrally depict concrete engineered plasmids and their chromosomal integration products, including promoters, fluorescent-protein cassettes, resistance markers, and attachment sites. Under the 2012–2013 historical exception, this conventional cloning and physical construct cartography is compatible.",
10.1021/sb400027x,2013,2012-2013,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,False,False,True,"Figure 1 is a conceptual workflow for developing an imaginary gasoline-producing microorganism. The circular genome is a generic illustration attached to the workflow rather than a concrete physical construct design or central genome cartography, so it does not cross the 2012–2013 historical boundary.",
10.1021/sb400053b,2014,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,False,False,True,"The figure contains micrographs, a localized-transfection workflow schematic, and a conceptual HGF-induced tubulation illustration. Although the labels name CMV-EGFP and CMV-HGF-IRES-EGFP constructs, no panel depicts their nucleic-acid composition or arrangement as a design.",
10.1021/sb400053b,2014,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,2,False,False,True,"Figure 2 consists only of time-lapse fluorescence micrographs showing the HGF-induced reporter-cell phenotype. Although the caption identifies the engineered MMP-1-d2EGFP reporter cell line, no panel depicts the composition or arrangement of the engineered nucleic-acid construct.",
10.1021/sb400053b,2014,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,3,False,False,True,"All four panels are quantitative data plots: time-course, dose-response, qRT-PCR bar, and inhibition-response charts. No panel depicts the composition or arrangement of an engineered nucleic-acid construct or reporter cassette.",
10.1021/sb400053b,2014,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,4,False,False,True,"All panels are quantitative fluorescence or decay plots showing reporter dynamics, half-life, reversibility, and inhibitor timing. The figure contains no schematic specifying the composition or arrangement of the engineered MDCK:MMP-1-d2EGFP reporter construct.",
10.1021/sb400053b,2014,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,5,False,False,True,"All panels are fluorescence micrographs of MDCK cyst phenotypes. Construct names identify the transfections used, but no panel diagrams the composition or arrangement of an engineered nucleic-acid construct or system.",
10.1021/sb400053b,2014,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,6,False,False,True,"All panels consist of fluorescence micrographs and quantitative response plots showing HGF and NK4 gradients. Although the caption names engineered expression constructs used in sender cells, the figure does not depict their nucleic-acid composition or arrangement as a design.",
10.1021/sb500236e,2014,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,False,False,True,"The panels depict abstract regulatory architectures and molecular-control modes using species labels and interaction arrows, without specifying the composition or arrangement of an engineered nucleic-acid construct. Under the 2014–2016 policy, this is excluded abstract gene-circuit or model topology.",
10.1021/sb500236e,2014,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,2,False,False,True,"All three panels are abstract mathematical and metabolic circuit diagrams comparing feedback behavior; they do not specify the composition or arrangement of an engineered nucleic-acid construct. Under the 2014–2016 policy, this model topology is not compatible.",
10.1021/sb500236e,2014,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,3,False,False,True,"Panel (a) is an abstract gene-circuit/model topology showing regulatory relationships among mRNA, activator, and repressor variables, not the composition of a concrete engineered nucleic-acid construct. The remaining panels are parameter-space heat maps and a time-series plot, so Figure 3 is not compatible under the 2014–2016 historical boundary.",
10.1021/sb500236e,2014,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,4,False,False,True,"The circuit panels are abstract model-topology diagrams linking mRNA, activator, and repressor variables, not physical engineered nucleic-acid construct designs. The remaining panels are parameter-space heat maps and time-series plots, which do not add construct composition.",
10.1021/sb500236e,2014,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,5,False,False,True,"The figure presents abstract activator–repressor circuit topology alongside model parameter maps and simulated time-series plots. It does not specify the composition or arrangement of a concrete engineered nucleic-acid construct, and the 2014–2016 policy explicitly excludes abstract gene-circuit or model topology.",
10.1021/sb500236e,2014,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,6,False,False,True,"Figure 6 consists of abstract gene-circuit/model topology diagrams and mathematical parameter and time-series plots. It does not specify the composition or physical arrangement of an engineered nucleic-acid construct, and the 2014–2016 policy explicitly excludes abstract gene-circuit topology.",
10.1021/sb500236e,2014,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,7,False,False,True,"Every panel is a quantitative plot or parameter-space chart analyzing delay, oscillatory potential, and fold tolerance. The circuit designs are referenced only as abstract model categories in the caption, with no engineered nucleic-acid construct composition or concrete construct schematic shown.",
10.1021/acssynbio.5b00218,2015,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,True,True,True,"Panels B, D, and E centrally depict specific engineered Ribo-T rRNA operon designs, including the arrangement of circularly permuted 23S and 16S rRNA elements, processing ribozymes, and associated sequence features. These are concrete nucleic-acid construct schematics, not merely native-sequence annotations or abstract topology.",
10.1021/sb500365m,2015,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,1,True,True,True,"Both panels include a concrete engineered reporter construct, with the synthetic promoter Psynth arranged upstream of GFP, as part of the GPCR biosensor design. Under the 2014–2016 exception, this small construct schematic counts even though it is embedded in a signaling-mechanism diagram.",
10.1021/sb500365m,2015,2014-2016,calibration,historical_2025_era_v3+boundary_pages_v2,per_figure,1,2,True,True,True,"Panels a and d include concrete engineered GFP reporter-cassette schematics, identifying the promoters and reporter DNA used in the measured GPCR sensor systems. Under the 2014–2016 historical boundary, these small experimental-design identifiers make the figure compatible despite the surrounding signaling mechanisms and data plots.",
