doi,year,era,benchmark_partition,prompt_profile,judging_mode,self_consistency_samples,figure_number,expected_compatible,predicted_compatible,correct,rationale,judge_error
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,1,False,True,False,"Panel A concretely depicts the engineered L57V fusion protein, including the LOV2 and caspase-7 p20/p17 domain arrangement, whose behavior is measured in the other panels. Under the 2012–2013 exception, this specific experimental protein/domain design is countable even without nucleic-acid design content.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,2,False,False,True,"All panels are fluorescence micrographs showing the spatial effects of illumination on cells expressing L57V. No panel depicts the physical design or composition of an engineered construct, protein/domain variant, plasmid, or nucleic-acid system.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,3,False,False,True,"All panels are quantitative data plots or fluorescent gel images; none depicts the physical design, composition, or arrangement of an engineered construct, protein/domain variant, or assembly. Construct and variant names appear only as experimental labels, so the 2012–2013 exception does not apply.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,4,False,False,True,"Figure 4 consists entirely of fluorescence micrographs, false-color FRET images, and an intensity-ratio time-course plot. It contains no depiction of an engineered construct, protein/domain variant, plasmid, or other concrete experimental design that would fall within the 2012–2013 historical boundary.",
10.1021/sb200008j,2012,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,5,False,False,True,"Figure 5 consists entirely of fluorescence micrographs showing MitoSensor localization over time in L57V-transfected and neighboring COS7 cells. It contains no depiction of a nucleic-acid construct, concrete engineered variant design, assembly, or functional construct interaction.",
10.1021/sb300061x,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,1,False,False,True,"Figure 1 is a gas chromatogram with an inset table identifying enzyme-expression and propanoate conditions. It contains no concrete depiction of an engineered construct, protein/domain variant, or physical genetic design; names of expressed enzymes alone do not constitute a countable design schematic.",
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,1,True,True,True,"Figure 1 centrally depicts the physical plasmid mutagenesis and assembly process, including primer locations, engineered substitutions, PCR products, and their circular assembly. Under the 2012–2013 historical policy, this conventional mutagenesis and assembly cartography is countable even though much of the figure explains workflow and strand-level mechanism.",
10.1021/sb300131w,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,2,True,True,True,"All three panels centrally depict concrete plasmid constructs and their physical mutagenesis or assembly, including engineered variants, fragment arrangements, and restriction-site changes. Under the 2012–2013 historical boundary, this conventional plasmid and cloning cartography is countable.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,1,True,True,True,"Panels a–d include concrete linear schematics of the engineered constructs measured in the accompanying plots, showing RBS–fluorescent-protein arrangements and a bicistronic RBS1–gene 1–RBS2–gene 2 design. Under the 2012–2013 policy, these small experimental construct depictions are countable.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,2,True,True,True,"Figure 2 includes a concrete schematic of the measured bicistronic construct, showing RBS 1–gene 1–RBS 2–gene 2 arranged on a backbone and identifying the engineered spacer region varied in the experiment. Under the 2012–2013 policy, this specific experimental construct depiction counts even though the main panel is a data plot.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,3,True,True,True,"Figure 3 includes a concrete linear depiction of the engineered bicistronic construct measured in the accompanying plot, showing RBS 1, gene 1, RBS 2, gene 2, and the varied upstream position. Under the 2012–2013 policy, this specific experimental-design schematic is countable even though it is small and paired with quantitative data.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,4,True,True,True,"The panel includes a concrete bicistronic construct schematic showing RBS 1–gene 1–RBS 2–gene 2 beside the spacer-length measurements. Under the 2012–2013 exception, this specific experimental construct depiction is countable even though the figure is primarily a data plot.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,5,True,True,True,"The upper panel concretely depicts the bicistronic engineered construct measured in the bar chart, including RBS 1, gene 1, RBS 2, and gene 2, with the varied region indicated. Under the 2012–2013 historical policy, this specific experimental construct schematic is countable even though the rest of the figure presents data and sequence details.",
10.1021/sb400003y,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,6,True,True,True,"Figure 6 includes a concrete schematic of the engineered bicistronic construct, showing RBS 1–gene 1–RBS 2–gene 2 and the varied start-codon position upstream of gene 2. Under the 2012–2013 policy, this specific experimental design remains countable even though the rest of the figure is a data plot.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,1,False,True,False,"The figure concretely specifies a 12-block engineered protein recombination library, showing its block composition on a structure and aligned parental sequences. Under the 2012–2013 exception, this specific protein/domain assembly design is countable even without nucleic-acid construct content.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,2,False,False,True,"Figure 2 contains only a bar chart of chimera thermostabilities and a scatter plot comparing temperature measurements. It includes no concrete construct, variant architecture, assembly diagram, or nucleic-acid design depiction.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,3,False,False,True,"Figure 3 contains only scatter plots comparing predicted and measured thermostability and bar charts of modeled protein-block contributions. It does not depict a concrete engineered construct, protein/domain variant, assembly, or nucleic-acid design; the block labels are model variables rather than physical design schematics.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,4,False,False,True,"Figure 4 consists only of scatter plots comparing predicted and measured protein thermostability values for CBHI chimeras. It contains no concrete depiction of an engineered construct, variant architecture, or physical assembly, so it falls outside even the broader 2012–2013 boundary.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,5,False,False,True,"Both panels are bar charts reporting thermostability effects for named point mutations. They contain no concrete schematic of an engineered construct, protein/domain variant, or assembly, so the 2012–2013 exception does not apply.",
10.1021/sb400010m,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,6,False,False,True,"Figure 6 is solely a data plot of normalized cellulase activity versus temperature for the wild type and the F362M protein variant. It contains no construct, sequence, plasmid, assembly, or concrete schematic depiction of the engineered experimental material; identifying the variant only in the plot legend and caption does not satisfy the 2012–2013 exception.",
10.1021/sb400019s,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,1,True,True,True,"Panel (a) concretely depicts the engineered loopXa-pIII protein construct measured in panel (b), including the pIII arrangement, LPETGG motif, linker, Factor Xa cleavage site, and disulfide-bonded loop. Under the 2012–2013 historical exception, this specific engineered protein/domain design is countable even without nucleic-acid design content.",
10.1021/sb400019s,2013,2012-2013,calibration,historical_2025_era_v3+borderline_vote_v1,per_figure,3,2,True,True,True,"Panel a concretely depicts the engineered triSrt phage architecture, identifying the specific pIX, pVIII, and pIII display variants and the resulting labeled experimental assembly; under the 2012–2013 exception, this concrete construct/assembly design is countable despite the workflow-like labeling steps and gel data in panel b.",
